Numer,sternik,załogant,klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Sm,Miejsce w regatach
POL 8909,Karol Milewski,Bartosz Milewski,Hermes Sailing W-wa,1,4-,1,1,2,1,2,8,1
POL 9132,Przemek Zagórski,Michał Olko,yk Stal,5,9',2,2,1,3,3,16,2
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZMKS Poznań,4,5,4,7,7*,2,4,26,3
POL 8909,Jan Domański,Konrad Małachowski,KPMG W-wa,2,8,17*,5,4,5,5,29,4
POL 8437,Ewa Szyfter,Kacper Kaczmarek,AZS Poznań,17*,2,9,4,5,4,6,30,5
POL 8802,Dominik Ostrowski,Jan Siekierzyński,MKS 2 W-wa,3,3,7,3,6,9,17*,31,6
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH W-wa,6,1,3,6,17,17*,1,34,7
POL 8665,Marcin Panek,Łukasz Paszko,YK Stal,7,6,5,8,9,10*,8,43,8
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal,8,7,6,10,10*,6,7,44,9
POL 8493,Mieczysław Szwed,Jacek Szwed,C.Ż.Szczecin,11,10,8,9,3,7,17*,48,10
POL 8656,Emanuela Bartkowiak,Mateusz Wolszczak,YK Stal,10,11,10,12*,8,12,10,61,11
POL 8145,Jakub Kozanko,Michał Wdówka,Łódź,9,12,12,17,17*,8,9,67,12
POL 7942,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań,12,13,11,13,17*,11,17,77,13
POL 8358,Maciej Goździk,Przemysław Iwanek,Warszawa,13,17,13,11,17*,13,11,78,14
POL 8416,Marcin Matla,Jacek Kuciel,YK Stal,17,17,17,17,17*,17,17,102,15
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal,17,17,17,17,17*,17,17,102,16
