Nation,SailNo,Helmname,Crewname,Boat,R1,R2,R3,Tally,Total,Nett,Place
FRA,9075,Philippe Boite,Alexandre Boite,Napadelisse,3,1,3,11,7,7,1
SUI,9147,Caroline Jacot,Philippe Jacot,Bonnie & Clyde,6,2,1,4,9,9,2
SUI,9096,Cédric Bart,Laurent Grob,Axou,2,3,4,3,9,9,3
SUI,8613,Ueli Marti,René Betschen,,1,4,7,14,12,12,4
SUI,8614,Florian Stauffer,Valéry Jacot,,4,8,2,6,14,14,5
FRA,8954,Muriel Agrapart,Frank Agrapart,,5,7,6,9,18,18,6
FRA,9099,Gilles Chapelin,Alain Karadjian,,7,5,8,2,20,20,7
FRA,9086,Elisabeth Neidhart,Fabrice Toupet,,8,11,5,10,24,24,8
SUI,8961,Toni Utiger,Markus Heilig,noname,17 DNC,6,9,8,32,32,9
SUI,9060,Catherine Houriet,Gil Donze,Patience,9,9,14,1,32,32,10
SUI,8545,Titouan Marcmartin,Jean­marie Tinembart,Big OR No,11,13,11,5,35,35,11
GER,8712,Stefan Krumm,Uwe Krumm,Merlin,17 DNC,10,10,12,37,37,12
SUI,8528,Walter Ammann,,feel wind,10,14,13,7,37,37,13
SUI,7926,Thomas De Ruiter,Arnold Björn,Blue wind,17 DNC,12,12,16,41,41,14
GER,8843,Olivier Kraft,,Chakalaka,17 DNC,17 DNC,17 DNC,13,51,51,15
SUI,6578,Antonia Küster,Andrin Kamber,,17 DNC,17 DNC,17 DNC,16,51,51,16
