Boat,Helm,Crew,club,R1,R2,R3,R4,R5,R6,Points,Netto,place
FRA,9175,Philippe Boite,Mathieu Fountaine,CVSQ,1,1,7*,1,1,2,13,6,1
,,Andy Smith,Roger Gilbert,,2,2,1,9*,7,1,22,13,2
FRA,9076,Xavier Broise,Jamonieres Des Nicolas,S N P H,3,5*,4,4,2,3,21,16,3
GBR,9177,Thomas Gillard,Harry Bridden,,11*,7,13,3,3,4,41,28,4
SUI,9147,Caroline Jacot,Philippe Jacot,,7,6,5,7,19*,7,51,32,5
GBR,9136,Stewart Mears,Georges Hand,,5,3,11*,6,11,10,46,35,6
AUS,9134,Michael Quirk,Curtis Hartmann,,4,22*,3,15,4,14,62,40,7
,,Nicholas Meadow,James Read,,10,4,6,13,9,15*,57,42,8
,,Ben Iliffe,Paddy Lewis,,12*,10,2,11,8,12,55,43,9
,,Jeremie Brau,Ludovic Roblin,AAN PORT-BLANC,17*,9,8,2,15,11,62,45,10
SUI,9163,Florian Stauffer,Valery Jacot,,16,14,10,5,17*,13,75,58,11
FRA,9050,Kergariou De Herve,Kergariou De Guillaume,CN ARRADON,8,11,20,22*,5,16,82,60,12
FRA,9086,Elisabeth Neidhart,Pierre Gallo Jean,Y C ILE DE FRANCE,6,12,16,12,14,20*,80,60,13
FRA,8676,Valentin Dechauffour,Pierre Gendry,S N O NANTES,28*,17,14,8,21,6,94,66,14
,,Pede Di Thibault,Fabrice Toupet,C V SEINE-PORT,18,8,23*,21,13,17,100,77,15
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,31*,19,26,18,10,5,109,78,16
FRA,8904,Nicolas Martin,Julien Lafortune,C V SEINE-PORT,29*,25,19,10,6,25,114,85,17
FRA,8900,Serge Gubri,Alban Viaud,C V SEINE-PORT,15,15,21,20,16,22*,109,87,18
,,Loic Bleuez,Frederic Roucayrol,C N HAUTE SEINE,13,28*,9,31,20,18,119,88,19
,,Stuart Turbull,Rich Nurse,,23,16,53 RET*,24,18,8,142,89,20
FRA,9086,Morvan Le Bastian,Matthieu Gougeon,ASPTT TROYES,9,13,32*,16,28,27,125,93,21
,,Etienne Boyer,Emmanuel Boyer,LA PELLE-MARSEILLE,53 DNS*,39,12,23,12,9,148,95,22
,,Nicolas Guillou,Alain Ferec,S N P H,14,20,24,17,25,28*,128,100,23
FRA,9099,Gilles Chapelin,Alain Karadjian,C V BORDEAUX C M,19,27*,43,14,23,21,147,104,24
,,Killian Zimmowitch,Romaric Zimmowitch,C N ST CAST,21,29,15,33*,22,23,143,110,25
GBR,9125,Roger Deane,Nigel Deane,,20,21,17,26,27,46*,157,111,26
,,Riwanon Leroy,Jean Ancelot Claude,,24,18,28,53 DNF*,24,29,176,123,27
,,Assche Van Bas,Assche Van Toon,,30,45*,22,19,30,26,172,127,28
FRA,8716,Aline Martin,Yves Coltier,Y C ILE DE FRANCE,27,26,18,35*,33,24,163,128,29
,,Lisle De Francois,Marc Desjuzeur,C N FERRET,22,34,25,34,53 RET*,19,187,134,30
,,Philippe Blanchard,Dimitri Marakov,A C D'ALSACE LORRAIN,25,33*,27,29,32,30,176,143,31
,,Jacques Dechauffour,Sabine Dechauffour,S N O NANTES,43,24,29,28,26,47*,197,150,32
,,Assche Van Kim,Assche Van Lien,,33,38,30,27,29,42*,199,157,33
,,Jean Zimmowitch Charles,Jerome Zimmowitch,VIRTUAL REGATTA YC,37,23,37,41*,31,33,202,161,34
FRA,9031,Philippe Lucienne,Vivien Lucienne,S.R.C Sud-Oise,32,31,34,43*,34,35,209,166,35
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,26,32,33,25,53 DSQ*,53 DNF,222,169,36
,,Kleber Valery,Eric Valery,C N V AIX LES BAINS,46*,30,31,39,42,31,219,173,37
,,Claude Gachet,Francois Caminade,YC Grenoble Chara.,41*,46,36,30,38,34,225,179,38
,,Jean Artielle Philippe,Antoine Delagrange,Y C BEAULIEU,40,42*,35,32,40,32,221,179,39
FRA,8717,Eric Vassor,Pierre Chene Yves,USAM Voile Brest,34,36,40,44*,35,37,226,182,40
,,Paul Gorremans,Yves Gorremans,,39,37,44*,36,36,36,228,184,41
,,Pascal Viaud,Jordane Lafortune,C N CO ST TROJAN,35,41,38,40,39,44*,237,193,42
,,Philippe Lenorment,Christophe Dauriac,AAN PORT-BLANC,42*,40,42,37,41,38,240,198,43
,,Alain Debry,Tristan Debry,Y.C.DINARD,36,35,41,38,53 DNF*,53 DNS,256,203,44
,,Frederic Boujean,Didier Boujean,S R ROCHELAISES,45,43,46*,45,37,40,256,210,45
,,Olivier Thiberge,Olivier Dewez,VIRTUAL REGATTA YC,38,44,53 DNS*,46,44,41,266,213,46
,,Pierre Gorremans,Jean Gorremans,,47*,47,39,50,47,39,269,219,47
,,Damien Morel,Grégoire Morel,,44,49,45,53 DNS*,46,45,282,229,48
,,Thierry Muniglia,Alexandre Ligny,CN ARRADON,53 RET*,53 RET,53 DNS,42,43,43,287,234,49
,,Vincent Duhamel,Marc Duhamel,SR PERROS,53 DNS*,48,47,49,49,49,295,242,50
,,Bertrand Degois,Siham Souak,C N P K,53 DNF*,53 RET,53 DNS,48,45,50,302,249,51
,,Marine Delagrange,Morvan Le Vincent,C V SEINE-PORT,53 DNS*,53 DNS,53 RET,47,48,48,302,249,52
