Nation,,Coureurs / Équipage,Crew,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Crew CLUB,Points,place
FRA,9175,Boite Philippe,Fountaine Mathieu,CVSQ,1,UFD,3,1,1,1,2,S R ROCHELAISES,9,1
FRA,,Brau Jeremie,Roblin Ludovic,AAN PORT-BLANC,3,1,1,3,2,6,3,AAN PORT-BLANC,13,2
SUI,9147,Jacot Caroline,Jacot Philippe,CNB SUI,2,3,2,2,7,5,1,,15,3
FRA,8820,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,4,2,5,6,4,3,5,C V SEINE-PORT,23,4
FRA,8847,Le Morvan Bastian,Gougeon Matthieu,ASPTT TROYES,9,4,10,5,5,2,4,C N BAIE ST VAAST,29,5
FRA,,Puissant Jean-Guy,Karadjian Alain,CV LAC 3 PROVINCES,6,6,6,11,3,8,9,CVSQ,38,6
SUI,8961,Utiger Toni,Hellig Markus,CVE SUI,5,11,8,4,6,9,11,,43,7
FRA,,Boyer Etienne,Boyer Emmanuel,LA PELLE-MARSEILLE,8,8,4,8,8,7,8,C V BORDEAUX C M,43,8
FRA,9068,François de Lisle,Desjuzeur Marc,C N FERRET,10,12,7,7,10,10,7,C V SEINE-PORT,51,9
FRA,8002,Artielle Jean Philippe,Delagrange Marine,Y C BEAULIEU,12,7,9,9,9,DNF,DNF,C V SEINE-PORT,62,10
SUI,9060,Houriet Catherine,Donze Gilles,YCG SUI,14,9,14,DNF,DNF,4,6,,63,11
FRA,8729,Lafortune Jordane,Coltier Yves,C V SEINE-PORT,13,14,13,12,11,DNF,10,POLE NAUTI SUD GOELO,73,12
FRA,9164,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,7,13,DNF,DNF,DNF,11,12,S N O NANTES,75,13
FRA,,Duquesne Philippe,Duquesne Laurent,S N O NANTES,11,10,12,10,DNF,DNC,DNC,C N B P P,75,14
FRA,8954,Jeanne Muriel,Agrapart Franck,C N HAUTE SEINE,DNC,5,11,DNF,DNF,DNC,DNC,C N HAUTE SEINE,80,15
