Nation,Boat no,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,8830,Drew Buttner,,NESS,1,1,2,1,1,8,[9],1,15,1
USA,9173,Tyler Moore,Ted Huebner,Team Rooster,3,2,4,[6],2,2,1,2,16,2
USA,8939,Michael Komar,,USA 8939,2,6,1,4,5,5,2,[7],25,3
USA,9095,Macy Nelson,Russell Miller,Highway 95 Revisited,[12],5,3,2,7,6,4,3,30,4
USA,9005,Thomas Kivney,Gordon Russell,Katiebear,24 DNF*,4,10,3,3,4,6,4,34,5
IRL,8987,Peter Scannell,John Dunlea,Lookadatla,14,3,7,8,4,1,10,[17],47,6
USA,8930,Duane Delfosse,Sol Marini,Blondage,4,11,8,9,9,[13],7,5,53,7
USA,8814,Lin Robson,Matt Gardiner,Sojourner,5,9,11,24 DNF*,10,9,3,13,60,8
USA,7606,Brendan Connell,Sam Carter,Battleship,7,13,[16],5,6,3,13,14,61,9
USA,9041,Henry Amthor,Mike Paramore,Bench Mark,13,24 DNF*,9,7,12,11,12,6,70,10
USA,900*,Jeff Boyd,Nick Schwenger,More Desperate Measures,10,7,14,10,8,[15],11,11,71,11
USA,8641,Nicholas Burke,Will Hundahl,8641,24 DNC*,24 DNC,5,11,11,7,15,8,81,12
CAN,9138,Marek Balinski,Robert Bartlewski,505,9,8,15,12,[17],17,14,9,84,13
CAN,8260,Steve Lovshin,Shona Moss Lovshin,Red Rocket,8,12,13,13,24 DNF*,14,16,18,94,14
USA,9183,Michael Breton,Matthew Breton,No Retreat,24 DNF*,24 DNC,12,16,13,16,5,10,96,15
USA,8819,Kaila Pfrang,Christopher Pfrang,Schneller,24 DNC*,24 DNC,18,14,15,12,8,12,103,16
USA,9084,Brent Jansen,,Rooster,6,10,17,15,14,24 DNC,24 DNC,24 DNC,110,17
CAN,8600,Marie Gendron,,Mystery,24 DNC*,24 DNC,6,24 DNF,24 DNC,10,17,16,121,18
USA,8766,Ian Conners,Jimmie Cockerill,The Shocker,11,24 DNF*,19,24 DNF,16,18,18,15,121,19
USA,8850,Doug Watson,Graham Roeber,Dr. Crash,24 DNC*,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,20
CAN,7200,Jeff Boyd,,MDM,24 DNC*,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,21
USA,8265,Thomas Hurwitch,,Hecate Racing,24 DNC*,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,22
usa,8643,Barney Harris,,team spot,24 DNC*,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,24 DNC,168,23
