Nation,Boat,helm,crew,club,R1,R2,R3,R4,Sum,Place
GBR,9190,Ian Pinnel,Alex Davies,,1,1,6*,1,3,1
FRA,9175,Philippe Boite,Mathieu Fountaine,CVSQ,6*,4,1,3,8,2
AUS,9134,Michael Quirk,Reeve Dunne,,UFD*,2,5,2,9,3
FRA,175,Maxime Paul,Logan Vergy,S R ROCHELAISES,5,5,2,7*,12,4
USA,9072,Mike Holt,Rob Woelfel,,UFD*,3,3,9,15,5
GBR,9214,Andy Smith,Tim Needham,,3,10*,9,8,20,6
FRA,9099,Gilles Chapelin,Alain Karadjian,C V BORDEAUX C M,2,13,22*,6,21,7
SUI,9147,Caroline Jacot,Philippe Jacot,,7,6,DSQ*,12,25,8
FRA,8683,Antoine Lafortune,Geraud Lafortune,C V SEINE-PORT,UFD*,12,11,5,28,9
FRA,8716,Aline Martin,Yves Coltier,Y C ILE DE FRANCE,14,11,21*,4,29,10
GBR,8914,Tim Bird,Adam Kenney,,UFD*,7,10,13,30,11
FRA,8820,Thibault Di Pede,Fabrice Toupet,C V SEINE-PORT,11,18,4,29*,33,12
GBR,8970,Tom Darling,Elliot Wells,,18,9,8,31*,35,13
FRA,8870,Christian Silvestre,Nicolas Auberger,Y C ILE DE FRANCE,13,16,7,19*,36,14
FRA,8614,Thibault Morel,Matthieu Morel,C V JULLOUVILLE,34*,8,15,18,41,15
FRA,9086,Elisabeth Neidhart,Jean Gallo Pierre,Y C ILE DE FRANCE,4,21,23*,20,45,16
FRA,8800,Claude Lafortune,Adrien Lafortune,C V SEINE-PORT,12,30*,20,16,48,17
FRA,975,Loic Bleuez,Frederic Roucayrol,Y C CANNES,8,25*,19,22,49,18
FRA,9164,Florence le Brun,Sabine Dechauffour,FFVOILE,28*,20,18,11,49,19
FRA,8902,Killian Zimmowitch,Romaric Zimmowitch,E V TREBEURDEN,19,15,DNC*,15,49,20
FRA,9045,Riwanon le Roy,Claude Ancelot Jean,ASN QUIBERON,21,22*,12,17,50,21
FRA,9019,Veronique Brenet,Jean-Pierre Peter,A C D'ALSACE LORRAIN,17,17,17,32*,51,22
FRA,8847,Anais Pain,Bastian le Morvan,C N BAIE ST VAAST,26,28*,14,14,54,23
FRA,9081,Philippe Blanchard,Florent Duplouy,A C D'ALSACE LORRAIN,UFD*,14,16,24,54,24
FRA,9150,Herve de Kergariou,Vincent Coltier,CN ARRADON,24*,19,13,23,55,25
FRA,9031,Philippe Lucienne,,Sud-Oise S.R.C,23,26,30*,10,59,26
BEL,8949,Cedric Crets,Lionel Lambert,,10,29*,25,26,61,27
FRA,9010,Baptiste Lafortune,Marine Delagrange,C V SEINE-PORT,16,36*,24,21,61,28
FRA,8869,Etienne Boyer,Emmanuel Boyer,LA PELLE-MARSEILLE,9,27,31*,27,63,29
FRA,9068,François de Lisle,Marc Desjuzeur,C N FERRET,15,23,28*,28,66,30
FRA,8900,Serge Gubri,Gael le Mauguen,C V SEINE-PORT,20,24,26,30*,70,31
FRA,8729,Jordane Lafortune,Pierre Pénisson,C V SEINE-PORT,22,40*,27,25,74,32
FRA,8895,Nicolas Michel,Laurent Michel,C V MAYENNE,25,33*,29,33,87,33
FRA,8002,Philippe Artielle Jean,Antoine Delagrange,Y C BEAULIEU,29,38*,33,34,96,34
FRA,8676,Valentin Dechauffour,Pierre Gendry,ASN QUIBERON,30,31,35,UFD*,96,35
FRA,8717,Eric Vassor,Yves Chene Pierre,USAM Voile Brest,27,37*,34,37,98,36
BEL,9064,Philippe Vandersteen,Théo Geeraerts,,31,35,36,RET*,102,37
FRA,6313,Denis Morel,Grégoire Morel,C V JULLOUVILLE,32,34,37*,36,102,38
FRA,9050,Eric Quemard,Antoine Victor,Y C ILE DE FRANCE,UFD*,32,32,UFD,105,39
FRA,7710,Jean-Pierre Derungs,Tom Roussel,CVML,33,39*,38,35,106,40
