Nation,Segel Nummer,Mannschaft,Verein,Club,R1,R2,R3,R4,R5,Total,Points,Place
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,1,1,-3,2,8,5,1
GER,9198,Julian Stückl,Johannes Tellen,DTYC,-10,2,2,4,1,19,9,2
GER,8992,Lutz Stengel,Frank Feller,ROYC,2,-3,3,1,3,12,9,3
AUS,9028,Earle Alexander,Axel Priegann,Darling Point SS,4,5,4,-15,6,34,19,4
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,-8,8,5,5,4,30,22,5
GER,9040,Norbert Dasenbrook,Sven Meier,SKBUE,3,9,6,-10,10,38,28,6
GER,8669,Nils-Henning Hofmann,Jan-Hendrik Lenz,DYC,-11,6,9,8,5,39,28,7
GER,90*,Nicola Birkner,Angela Stenger,VSAW,6,4,(20) DNF,2,20 OCS,52,32,8
GER,9151,Walter Steding,Hans-Werner Steding,HSC,9,-10,10,6,7,42,32,9
GER,9066,Peter Gerdts,Christian Labenz,SVWU,5,-11,11,7,11,45,34,10
GER,9057,Imke Brockerhoff,Mathias Weidenbach,DUYC,7,7,7,-11,20 DNE,52,41,11
GER,9113,Joseph Schütte,Karsten Stümpel,HSC,12,-13,8,12,9,54,41,12
GER,8806,Anna Hauschild,Katharina Menge,SCS,13,-14,14,9,8,58,44,13
AUS,9071,Richard Hyde,Lindsey Gilbert,Darling Point Sailing Club,(20) DNF,12,15,14,12,73,53,14
GER,8988,Georg Mittermayer,Dirk Barteldt,SCLL,14,15,12,-17,13,71,54,15
GER,8932,Christian Henge,Katja Henge,WSCW,15,-16,13,16,15,75,59,16
GER,8697,Stephan Briehl,Christian Zils,ASVZR,(20) DNF,20 DNC,20 DNC,13,14,87,67,17
GER,8317,Christina Burger,Dirk Bleiker,ZSK,(20) DNC,20 DNC,20 DNC,18,16,94,74,18
GER,9006,Michael Rehberg,,Vbs,(20) DNF,20 DNC,20 DNC,20 DNC,20 DNC,100,80,19
