Numer na żaglu,Imię i nazwisko sternika,Imię i nazwisko załoganta,Przynależność klubowa,Race 1,Race 2,Race 3,Race 4,Race 5,Suma punktów:,Miejsce w regatach
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH W-wa,2,1,1,3*,2,6,1
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal,1,2,3,4*,4,10,2
POL 9020,Tomasz Brzozowski,Paweł Choroba,Horn Kraków,26*,3,4,1,5,13,3
POL 9132,Przemek Zagórski,Michał Olko,YK Stal,3,6,26*,5,6,20,4
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZKMS Poznań,4,4,2,11*,11,21,5
POL 8909,Jan Domański,Michał Wdówka,KPMG Sailing,7,5,9*,8,3,23,6
POL 8493,Mieczysław Szwed,Konrad Plewa,CŻ Szczecin,5,9,6,7,14*,27,7
POL 8812,Sławomir Plichta,Paweł Prus,YK Stal,9,12,7,2,16*,30,8
POL 8483,Mariusz Michalski,Piotr Duma,YK Stal,6,11,5,12,13*,34,9
POL 8665,Marcin Panek,Jan Walczak,,10,7,8,9,10*,34,10
POL 8212,Michał Tracz,Andrzej Zdrojek,KŻ Ostróda,26*,8,10,16,9,43,11
POL 8497,Aleksandra Kachlicka,Michał Prończuk,AZS Poznań,26*,10,11,14,17,52,12
POL 8751,Anna Zabłocka,Bartosz Kowalczyk,ŻLKS Poznań,26*,13,12,15,15,55,13
POL 8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,8,26*,26,13,12,59,14
POL 8358,Tobiasz Zajączkowski,Maciej Goździk,,26*,26,26,6,8,66,15
POL 8769,Michał Ruciński,Patryk Płotka,MIPRO AKM Gdańsk,26*,26,26,10,7,69,16
POL 8359,Tomasz Polikowski,Adam Najmowicz,YK Stal,26*,26,13,19,20,78,17
POL 8802,Dominik Ostrowski,Jakub Folczak,MKS 2 W-wa,26*,26,26,26,1,79,18
POL 8416,Bogna Płachecka,Łukasz Paszko,,26*,26,26,17,18,87,19
POL 8490,Marcin Pfeiffer,Ryszard Pfeiffer,,26*,26,26,18,21,91,20
POL 8770,Jakub Gąsiorowski,Karolina Gąsiorowska,YK Stal,26*,26,26,20,19,91,21
POL 8656,Emanuela Bartkowiak,Mateusz Wolszczak,YK Stal,26*,26,26,26,26,104,22
POL 8437,Szymon Kabała,Kacper Kaczmarek,AZS Poznań,26*,26,26,26,26,104,23
POL 7020,Marcin Pietrzak,Marcin O. Pietrzak,,26*,26,26,26,26,104,24
FIN,Paweł Rzepecki,Szymon Swosiński,,26*,26,26,26,26,104,25
