Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,[4],4,1,1,1,3,Mike's Boat,14,10,1
USA,9153,Howard Hamlin,Andrew Zinn,ABYC/NHYC,1,[5],2,2,4,1,Hull Pass,15,10,2
USA,8995,Michael Menninger,Reeve Dunne,StFYC,[6],1,3,3,2,2,Black Boat,17,11,3
USA,9004,Parker Shin,Eric Anderson,StFYC/YCYC,3,2,4,4,3,[DNC 17],N = 1,33,16,4
USA,9082,Jeff Miller,Pat Diola,Santa CruzYC,2,3,5,[6],6,5,Miracle,27,21,5
CAN,9009,Robert Tennant,Stephen Bourdow,RVic YC,5,6,6,5,5,[8],,35,27,6
USA,8831,Paul von Grey,Kerry Poe,wsc,7,[RET 17],7,7,12,4,red 2,54,37,7
USA,8680,Evan Diola,Mark Voropayev,SCYC,8,7,[10],9,7,6,,47,37,8
USA,8937,Tim Murphy,,TI,[10],9,8,8,10,7,,52,42,9
USA,7609,Ryan Nelson,Will Lowe,Encinal Yacht Club,9,[11],9,11,9,9,Rogue One,58,47,10
USA,8617,Paul Pihl,Thomas Crawford,BYC,[DNC 17],10,DNC 17,10,8,DNF 17,TBD,79,62,11
CAN,8263,Peter Grimm,Fred Grimm,Kitsilano Yacht Club,12,10,[DNC 17],12,11,DNC 17,FinTacTic,96,62,12
GBR,8435,Patrick McGale,,queen mary sailing club,11,[RET 17],DNC 17,DNF 17,DNC 17,DNC 17,,164,79,13
USA,8813,Gordon Dollar,,SCYC,13,[DNC 17],DNC 17,DNC 17,DNC 17,DNC 17,,166,81,14
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,[DNC 17],DNC 17,DNC 17,DNC 17,DNC 17,DNC 17,Rob's Olde Boat,187,85,15
USA,9202,Mike Holt,Rob Woelfel,Santa Cruz YC,[DNC 17],DNC 17,DNC 17,DNC 17,DNC 17,DNC 17,IO Integration,187,85,16
