Nation,Sail No,Skipper,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 9,Race 11,Race 12,Race 13,Race 15,Race 16,Race 17,Race 18,Race 19,Points,Place
AUS,8957,Peter Woolman,,More Noodles,2,[5.0],1,[8.0C],5,4,1,1,[11.0C],[11.0C],3,1,2,1,1,22,1
AUS,9022,Ian Burford,,Hit the Jackpot,1,2,2,2,2,6,9.0C,[11.0C],1,1,1,[11.0C],[11.0C],4,[11.0C],31,2
AUS,8839,Robin Cross,,Plan B,4,4,8.0C,1,4,3,9.0C,[11.0C],[11.0C],[11.0C],6.0F,[11.0C],1,3,11.0C,54,3
AUS,8890,Martin Pike,,Groove Train,6.0C,1,8.0C,6.0F,3,2,9.0C,4,[11.0C],[11.0C],2,3.0F,[11.0C],[11.0C],11.0C,55,4
AUS,8946,Sandy Higgins,,Hawaii Five-O,3,3,3,3,1,1,9.0C,[11.0C],[11.0C],[11.0C],[11.0C],11.0C,11.0C,2,11.0C,58,5
AUS,8589,Brooke Jones,Brian Jones,Ross Island,6.0C,7.0C,5,8.0C,9.0C,9.0C,3,[11.0C],[11.0C],[11.0C],[11.0C],11.0C,3,6,2,69,6
AUS,9194,Robbbie Dussen,,Grey Boat,6.0C,7.0C,8.0C,8.0C,9.0C,9.0C,9.0C,3,[11.0C],[11.0C],4,[11.0C],[11.0C],5,11.0C,79,7
AUS,8886,Ben Schulz,,Thunder Struck,6.0C,7.0F,4,4,7,5,9.0C,[11.0C],[11.0C],[11.0C],[11.0C],11.0C,11.0C,11.0C,11.0C,86,8
AUS,9209,Malcolm Higgins,Marcus Cooper,Chicken Dinner,6.0C,7.0C,8.0C,8.0C,6,9.0C,2,[11.0C],[11.0C],[11.0C],[11.0C],11.0C,11.0C,11.0C,11.0C,90,9
AUS,9191,Malcom Higgins,,Wisky Tayo,6.0C,7.0C,8.0C,8.0C,9.0C,9.0C,9.0C,2,[11.0C],[11.0C],[11.0C],[11.0C],11.0C,11.0C,11.0C,91,10
