Nation,Boat no,Helm,Crew,club,Race 1,Race 2,Race 3,Race 4,Crew Club,,place
FRA,9220,Boite Philippe,Carnot Marin,CVSQ,5,1,1,1,CVSQ,8,1
FRA,9150,De Kergariou Herve,De Kergariou Guillaume,CN ARRADON,2,3,3,3,CN ARRADON,11,2
FRA,,Maisse Stephane,Vergy Logan,C V BORDEAUX,7,2,2,4,S R ROCHELAISES,15,3
FRA,8716,Martin Aline,Chevet Henry,Y C ILE DE FRANCE,3,4,6,5,S N P H,18,4
FRA,,Dechauffour Valentin,Gendry Pierre,ASN QUIBERON,6,9,4,2,S N O NANTES,21,5
FRA,,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,1,6,9,7,Y C ILE DE FRANCE,23,6
FRA,,François de Lisle,Desjuzeur Marc,C N FERRET,4,DPIi,10,8,Voiles de Nacre,31,7
FRA,,Pain Anais,Le Morvan Bastian,C N BAIE ST VAAST,11,11,7,11,S N LARMOR PLAGE,40,8
FRA,,Karadjian Alain,Teyssier David,CVSQ,9,14,8,9,C V SANGUINET,40,9
FRA,,Commeil Bertrand,Commeil Paul,Y C CARNAC,10,8,12,10,S R ROCHELAISES,40,10
BEL,8553,Gorremans Paul,Gorremans Pierre,BELGIQUE,15,DPIi,5,6,Belgique,41,11
FRA,,Eric Quemard,Victor Antoine,Y C ILE DE FRANCE,13,10,11,12,VOILES DE SEINE,46,12
FRA,9219,Neidhart Elisabeth,De Monteil David,Y C ILE DE FRANCE,8,5,DNF,DNF,C V SEINE-PORT,51,13
FRA,8729,Lafortune Jordane,Gougeon Matthieu,C V SEINE-PORT,12,15,13,DNF,C N BAIE ST VAAST,59,14
FRA,,Michel Laurent,Michel Canelle,C V A N NANTES,DPIi,DNF,14,DNF,C V A N NANTES,68,15
FRA,,De Kergariou Anne-Marie,De Kergariou Pierre,C N CARANTEC,DNF,12,DNF,DNF,C N CARANTEC,69,16
FRA,,Vergy Matteo,Molina Alexandre,S R ROCHELAISES,DNF,DNF,DNF,DNF,CN CHATELAILLON,76,DNA
FRA,,Dechauffour Jacques,Dechauffour Sabine,ASN QUIBERON,DNF,DNF,DNF,DNF,ASN QUIBERON,76,DNA
