Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,1,1,1,4,4,,1
GER,9066,Peter Gerdts,Christian Labenz,HSC,2,2,3,2,6,,2
GER,8613,Kim Van Assche,Lien Van Assche,,4,5,5,1,3,,3
GER,9144,Jürgen Anton,Ulf Denecke,HSC,3,3,4,7,7,,4
GER,8730,Bernd Rasenack,Sebastian Wiemer,ZSK,5,4,6,3,5,,5
GER,9054,Anita Wollenbecker,Raik Wollenbecker,,10,9,2,5,2,,6
GER,8958,Nicholas Melzwig,Andrew Moakes,LRV,6,10,7,9,1,,7
GER,8928,Christina Burger,Martin Lietz,WSCW,7,8,8,8,10,,8
GER,8901,Andre Tirre,Frank Wille,YCS,9,7,DNF,10,8,,9
GER,8964,Iris Anton,Max Rauner,HSC,8,6,9,12,12,,10
GER,8932,Christian Henge,Katharina Menge,OSG,11,13,10,6,13,,11
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,13,11,DNF,13,9,,12
GER,8505,Peter Wichtrap,Mario Tirre,,12,14,DNF,11,11,,13
GER,8691,Harald König,Michael Müller,SHVL,14,12,DNF,14,14,,14
