Sejlnummer,Hold,,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,T,Total,Nr.,
DEN,923?*,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,-4,1,2,1,1,1,1,3,-4,18,10,1
DEN,9187,Jan Saugmann,Christian Limbrecht Mogensen,Hellerup Sejlklub,2,2,1,-3,3,2,2,2,-5,22,14,2
GER,9169,Tim Böger,Finn Böger,HSC,-9,4,3,2,2,-7,3,1,3,34,18,3
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,1,3,-7,4,-6,3,6,5,1,36,23,4
SWE,9181,Malin Broberg,Johan Röök,Björlanda Kile Segelsällskap,3,5,5,(16 )DNF,(16 )DNF,4,9,4,2,64,32,5
DEN,9128,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup Sejlklub,5,-8,4,5,4,5,8,-10,7,56,38,6
SWE,8962,Peter Bökmark,Martin Persson,BKSS,6,-9,6,7,-9,6,7,6,6,62,44,7
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,-11,6,9,9,8,-12,4,7,10,76,53,8
DEN,8827,Klaus Søndergaard,Torben Pihl,Holbæk Sejlklub,10,(16 )DNF,8,(16 )DNF,5,9,5,8,8,85,53,9
SWE,9171,Martin Fridh,Mats Dahlander,RJK,7,7,-10,6,-11,10,10,9,9,79,58,10
DEN,8923,Lars Hultgren,Axel Hultgren,Holbæk Sejlklub,-12,-11,11,8,7,8,11,11,11,90,67,11
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aalborg Sejlklub,8,10,12,10,10,-14,-14,12,13,103,75,12
DEN,8828,Kasper Agerbæk,Claus Pedersen,Holbæk Sejlklub,13,12,13,(16 )DNC,12,11,12,-14,12,115,85,13
GER,9123,Enno Wilts,Katharina Menge,SGJ,14,13,(16 )OCS,(16 )DNC,16 DNC,13,13,13,16 DSQ,130,98,14
DEN,9109,Hans Genefke,Søren Hjorth,HS,(16 )DNF,(16 )DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,16 DNC,144,112,15
