Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
GER,8992,"Lutz Stengel","Frank Feller",ROYC,1,1,1,3,7,2,15,,1
GER,9146,"Thure Gnadeberg","Aron Tellen",BSV,3,3,2,5,1,1,15,,2
DEN,9055,"Fabiola Wonterghem","Michael Wonterghem",SoSe,2,5,5,2,2,3,19,,3
GER,9182,"Alexander Holzapfel","Finn Böger",PSVK,8,4,3,1,6,4,26,,4
GER,9198,"Christian Kellner","Johannes Tellen",HSC,5,2,4,4,5,6,26,,5
GER,8849,"Henrik Schade","Sebastian Wiemer",WVW,6,7,6,6,4,5,34,,6
GER,9135,"Jens Biederer","Thomas Wasilewski",HSC,4,11,8,7,3,11,44,,7
GER,9197,"Anika Wollenbecker","Angela Stenger",YCBG,7,6,7,10,8,13,51,,8
GER,8458,"Olaf Oberländer","Mathias Jäkel",CKA,9,14,10,11,9,9,62,,9
GER,9230,"Joseph Schütte","Oliver Stieglitz",,11,12,9,13,10,7,62,,10
GER,9054,"Wilhelm Wollenbecker","Hermann Wollenbecker",YB,10,13,11,8,11,10,63,,11
GER,9000,"Julia Trusen","Thorsten Pösch",SVBS,12,8,12,12,13,8,65,,12
GER,8806,"Anna Hauschild","Anja Stengel",SCS,14,9,13,9,12,12,69,,13
GER,9123,"Martin Bernauer","Enno Wilts",CNFT,13,10,15,14,14,14,80,,14
GER,8691,"Harald König","Katja Frühwald-König",SRVL-S,15,15,14,15,15,15,89,,15
