Sail,number,Helmsman,Crew,Sailing club,R1,R2,R3,R4,Nett,#
POL,8736,Jan Sibilski,Andrzej Borowiak,ZLKS Poznań ŻMKS-Poznań,1,1,3*,1,3,1
POL,9119,Sławomir Plichta,Bartosz Chroł,Yacht Klub Stal Gdynia,3*,3,1,2,6,2
POL,9170,Karol Milewski,Bartosz Milewski,,2,2,2,3*,6,3
POL,8875,Dariusz Konopczak,Pawel Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,4,4,7*,6,14,4
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa/KLUB SPORTOWY SPÓJNIA-WARSZAWA,6*,6,5,5,16,5
POL,9233,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,5,5,8*,8,18,6
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,7*,7,6,7,20,7
POL,8747,Anna Jabłońska,Andrzej Zdrojek,,RET*,13,4,4,21,8
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,10*,8,9,9,26,9
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA PSK505,8,10,11*,10,28,10
POL,8751,Paweł Kluczyński,Wojciech Juszczak,OŚ AZS POZNAŃ/KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,9,9,12*,12,30,11
POL,8028,Anna Zabłocka,Konrad Plewa,"Centrum Żeglarskie Szczecin,RRS ZKŻ Zbąszyń",11,11,13*,11,33,12
POL,8634,Kacper Kaczmarek,Michał Prończuk,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,RET*,12,10,13,35,13
