Nat,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,Pts,Pos
GBR,9177,Thomas Gillard,Geoff Edwards,Sheffield Viking SC,5,1,‑7,1,1,8,1
GBR,9215,Roger Gilbert,Ben McGrane,Netley SC,2,‑7,1,4,2,9,2
GBR,9196,Penny Clark,Russ Clark,Stokes Bay SC,1,4,4,‑13,4,13,3
GBR,9232,Sam Pascoe,Norman Byrd,Castle Cove SC,3,2,3,‑6,5,13,4
GBR,9238,Ian Pinnell,Alex Davies,Hayling Island SC,4,‑5,2,5,3,14,5
GBR,9124,Nathan Bachelor,Christian Diebitsch,RYA,‑6,6,6,2,6,20,6
GBR,9085,Charlie Walters,Dougal Cram,,11,11,5,12,‑18,39,7
GBR,8513,Benjamin Frank Illife,Rich Nurse,Northampton SC,‑16,8,12,10,9,39,8
GBR,9214,Andy Smith,Stewart Mears,Notts County SC,9,10,11,‑19,14,44,9
GBR,8970,Simon Potts,Oliver Davenport,Burghfield SC,14,3,19,9,‑22,45,10
GBR,9179,Tudor Owen,Drystan Harnett,Minnis Bay SC,‑18,13,13,11,8,45,11
GBR,9180,Mark Upton‑Brown,Ian Mitchell,Hayling Island SC,8,9,15,16,‑17,48,12
AUS,9134,Michael Quirk,Tim Needham,,7,14,21,‑24,7,49,13
GBR,9229,Michael Wilson,Phil Hardisty,Isle of Man YC,‑24,24,10,3,16,53,14
GBR,9178,Chris Lewns,Jack Kilburn,MBSC,10,‑20,18,15,10,53,15
GBR,8935,Richard Sims,Robert Burdekin,Carsington SC,21,‑23,16,7,12,56,16
GBR,9125,Georgina Povell,Jonathan Ward,Ogston SC,13,16,17,‑22,13,59,17
GBR,9126,Stuart Turnbull,Mike Priddle,Burton SC,22,15,8,‑23,15,60,18
GBR,8963,Martin Hodgson,Adrian Miles,Stone SC,20,19,9,14,‑24,62,19
GBR,9093,Terry Scutcher,Harry Briddon,Ogston SC,19,18,14,‑20,11,62,20
GBR,9156,Russell Wheeler,Lee Marriott,Isle of Sheppey SC,15,‑22,22,8,20,65,21
GBR,9158,Duncan Barr,Cameron Barr,Netley SC,17,12,20,21,‑23,70,22
RSA,8896,Euan Hurter,Andrew Tarboton,Point YC,12,17,‑23,18,19,71,23
GBR,8306,Ben Batchelor,David Batchelor,,23,21,‑24,17,21,82,24
GBR,8532,Glyn Sheffield,Cris Rutter,WLYC,(DNC[27]),DNC[27],DNC[27],DNC[27],DNC[27],108,25
GBR,8497,Chris Jones,Robert Temple,Trearddur Bay SC,(DNC[27]),DNC[27],DNC[27],DNC[27],DNC[27],108,25
