Nation,Sail,Skipper,Crew,Yacht Club,1,2,3,4,5,6,7,8,9,Boat,Total,Pos
USA,9072,Mike Holt,Carl Smit,Carl Smit,2,1,3,2,3,[7],3,4,1,Carl Smit,19,1
USA,8965,Mike Zani,Pete Alarie,Tiverton YC,[8],2,5,1,4,3,1,1,3,Quahog,20,2
USA,8715,Ethan Bixby,Chris Brady,SPSC,[6],4,1,5,5,1,2,2,2,Pressure Drop,22,3
USA,8643,Barney Harris,,WRSC & PRSA,1,7,6,4,1,2,[9],7,6,10% for the Big Guy,34,4
AUS,9165,Curtis Hartmann,,Eastport YC/WRSC,5,3,2,7,6,4,[8],8,5,Boaty Mcboatface,40,5
USA,8951,David Kirkpatrick,,Sail Newport,[9],6,8,3,2,5,7,3,8,Toxic Masculinity,42,6
USA,8930,Duane Delfosse,,LSYC,7,[9],9,9,7,6,5,6,4,8930,53,7
USA,8883,Michael Renda,,WRSC,3,5,7,8,8,10,11,10,[16/DNF],Jane's Addiction,62,8
USA,8814,Lin Robson,,SPSC,4,8,10,6,10,11,6,9,[16/DNF],Sojourner,64,9
USA,9041,Henry Amthor,,Hampton YC,[16/DNS],16/DNS,16/DNS,16/DNS,11,8,4,5,7,Bench Mark,83,10
USA,8767,Matthew Breton,,WRSC,10,10,4,10,9,9,[16/DNS],16/DNS,16/DNS,Anbu B Team,84,11
USA,90951*,Robert Hoffman,,WRSC,[16/DNS],16/DNS,16/DNS,16/DNS,12,12,10,11,9,,102,12
USA,9095,Macy Nelson,,West River,[16/DNS],16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,Highway 95 Revisited,128T,13
USA,9139,Jackson Montague,,WRSC,[16/DNS],16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,Wild Thing,128T,13
IRL,8987,Peter Scannell,,monkstown bay sailing club,[16/DNS],16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,16/DNS,Lookadatla,128T,13
