Sail,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,T,N,Place
DEN,9244,Jacob Bojsen-Møller,Jan Saugmann,Hellerup Sejlklub,[5.0],1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,7.0,1
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,1.0,2.0,2.0,3.0,6.0,[10.0],3.0,3.0,30.0,20.0,2
SWE,8962,Peter Bökmark,Martin Persson,BKSS,4.0,3.0,4.0,2.0,[10.0],2.0,4.0,4.0,33.0,23.0,3
GER,9146,Joseph Schütte,Aron Tellen,KYC,3.0,[8.0],8.0,5.0,3.0,4.0,5.0,5.0,41.0,33.0,4
DEN,8440,Mikkel Christiansen/Uffe Andersen,Mads Christiansen,Aalborg Sejlklub,6.0,4.0,3.0,8.0,2.0,[11.0],6.0,6.0,46.0,35.0,5
GER,9135,Jens Biederer,Johannes Kindermann,HSC,7.0,6.0,5.0,7.0,[8.0],8.0,2.0,2.0,45.0,37.0,6
SWE,8923,Lars Hultgren,Axel Hultgren,Hellerup Sejlklub,8.0,[9.0],6.0,6.0,5.0,5.0,8.0,7.0,54.0,45.0,7
SWE,9171,Martin Fridh,Mats Dahlander,RJK,2.0,7.0,10.0,9.0,11.0,[13.0],9.0,10.0,71.0,58.0,8
DEN,8827,Torben Andersen,Klaus Søndergaard,Holbæk Sejlklub,9.0,5.0,7.0,10.0,[12.0],9.0,10.0,9.0,71.0,59.0,9
DEN,9243,Per Larsen,Christian Mogensen,Hellerup Sejlklub,13.0,[15.0]DNF,15.0DNF,4.0,4.0,3.0,11.0,15.0DNC,80.0,65.0,10
DEN,8828,Christian Seilman,Henrik Thomasen,Middelfart Sejlklub,11.0,12.0,11.0,11.0,7.0,7.0,[13.0],8.0,80.0,67.0,11
DEN,8232,Jonas Christiansen,Brian Sørensen/Kristian Helveg Hansen,Hellerup Sejlklub,10.0,11.0,9.0,[13.0],13.0,12.0,7.0,11.0,86.0,73.0,12
DEN,9079,Niels Flohr,Niels Lykke Refsgaard,Hellerup Sejlklub,12.0,10.0,[15.0]DNF,12.0,9.0,6.0,12.0,15.0DNC,91.0,76.0,13
DEN,9109,Søren Hjorth,Kasper Agerbæk,HS,14.0,[15.0]DNF,12.0,14.0,14.0,15.0DNF,14.0,12.0,110.0,95.0,14
