Segel,Nummer,Mannschaft,Verein,,R1,R2,R3,R4,T.,N.,Nr
GER,9199,Micki Daisenberger,Christian Schönbach,DTYC,1.0,1.0,1.0,(5.0),8.0,3.0,1
GER,9090,Christian Kellner,Felix Brokkerhoff,HSC,2.0,(3.0),2.0,3.0,10.0,7.0,2
GER,9197,Nicola Birkner,Angela Stenger,MYC,3.0,2.0,(4.0),4.0,13.0,9.0,3
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,(6.0),4.0,5.0,1.0,16.0,10.0,4
GER,9198,Lena Stückl,Johannes Tellen,DTYC,4.0,(6.0),6.0,2.0,18.0,12.0,5
GER,9189,Hendrik Schultz,Nathalie Zeiler,SCLW,(7.0),7.0,3.0,6.0,23.0,16.0,6
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,5.0,5.0,7.0,(8.0),25.0,17.0,7
GER,9035,Frank Beier,Hubertus Ritter,SCLM,8.0,(9.0),9.0,7.0,33.0,24.0,8
GER,8658,Christina Wilhelm,Alexander Wilhelm,HSC,9.0,(11.0),8.0,9.0,37.0,26.0,9
GER,8691,Felix Bernhardt,André Müller,SRVL-S,(11.0),8.0,10.0,10.0,39.0,28.0,10
GER,8590,Tillmann Baier,Eckhard Busch,"MRSV""BAYERN""",10.0,10.0,11.0,(12.0),43.0,31.0,11
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,12.0,12.0,12.0,(13.0),49.0,36.0,12
GER,9046,Andreas Seiffert,Paula Web,SCLA,13.0,13.0,(17.0)DNF,11.0,54.0,37.0,13
GER,8730,Peter Zimmer,Paul Bauer,TSVH,(14.0),14.0,13.0,14.0,55.0,41.0,14
GER,8495,Norbert Weitkämper,Klaus Michael Probst,TSVH,15.0,(17.0)DNF,17.0DNC,17.0DNC,66.0,49.0,15
GER,9078,Dieter Brehm,Natascha Cepec,SCLA,(17.0)DNS,17.0DNC,17.0DNC,17.0DNC,68.0,51.0,16
