Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8992,"Lutz Stengel","Aron Tellen",ROYC,1,1,1,1,2,1,1,8,,1
GER,9057,"Dorothea Gebert","Geeske Genrich",,2,3,2,2,1,2,2,14,,2
GER,9152,"Anika Wollenbecker","Raik Wollenbecker",YCBG,6,4,7,3,4,3,5,32,,3
GER,9234,"Nørbert Dasenbrook","Sven Meier",KSW,11,2,3,9,6,6,12,49,,4
GER,9113,"Joseph Schütte","Karsten Stümpel",,7,5,6,7,7,4,3,39,,5
GER,9066,"Peter Gerdts","Christian Labenz",HSC,8,7,8,8,3,7,42,83,,6
GER,9144,"Jürgen Anton","Ulf Denecke",HSC,5,10,4,10,5,9,"DNC 17",60,,7
GER,8903,"Steve Kwee","Alena-Larissa Wilkens",HSC,10,8,5,5,9,10,6,53,,8
GER,9130,"Andreas Jungclaus","Johannes Kindermann",HSC,9,9,9,6,12,5,4,54,,9
GER,8928,"Anna Hauschild","Martin Lietz",SCS,3,6,12,12,8,11,22,74,,10
GER,8531,"Anna Lienau","Anja Stengel",,13,11,11,4,10,12,7,68,,11
GER,0,"Katharina Menge","Enno Wilts",OSG,4,13,13,11,13,14,11,79,,12
GER,8964,"Iris Anton","Bruno Laudage",HSC,14,12,10,13,14,8,10,81,,13
GER,9040,"Harald König","Katja Frühwald-König",SRVL-S,15,14,15,14,11,13,19,101,,14
GER,7848,"Axel Dierich","Bruder Dierich",,12,15,17,17,15,16,29,121,,15
GER,8428,"Christian Lempp","Marius Wolff",HSC,16,16,14,15,16,15,16,108,,16
