Narodowość,Nr,Załoga,Klub,R1,R2,R3,R4,R5,R6,Pkt,M,
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL GDYNIA,1,5*,2,1,3,2,9,1
POL,9119,Mateusz Jura,Bartosz Chroł,Polskie Stowarzyszenie Klasy 505,2,6*,1,2,4,1,10,2
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Kiekrz Poznań ŻMKS Poznań,3,1,7,DNF*,1,5,17,3
POL,8875,Dariusz Konopczak,Pawel Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,4,3,4,3,8*,3,17,4
POL,9233,Tomasz Brzozowski,Paweł Choroba,"KŻ ""Horn"" Kraków KŻ Horn Kraków",5,2,5,13*,2,6,20,5
POL,8802,Dominik Ostrowski,Maciej Goździk,"MKS ""Dwójka"" Warszawa MKS ""Dwójka"" Warszawa",6,7,6,4,9*,8,31,6
POL,9132,Przemysław Zagórski,Michał Olko,YK STAL GDYNIA,DNF*,13,3,5,7,4,32,7
POL,8665,Marcin Panek,Jakub Grabowski,"PSK 505/JK,KRYNICA MORSKA",7,11*,8,9,5,7,36,8
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA PSK 505,9,8,10,8,11*,10,45,9
POL,7237,Paweł Kluczyński,Teofil Nowak,OŚ AZS POZNAŃ,12*,10,9,11,10,11,51,10
POL,8906,Michał Strusiński,Tomasz Polikowski,Yacht Klub Stal Gdynia,8,4,DNF*,6,DNF,DNF,56,11
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,10,9,11,7,DNF*,DNF,56,12
POL,8028,Anna Zabłocka,Jedrzej Bering,Centrum Żeglarskie Szczecin,11,15*,13,12,13,12,61,13
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,13,12,12,10,DNS*,DNF,66,14
POL,8747,Anna Jabłońska,Andrzej Zdrojek,Polskie Stowarzyszenie Klasy 505,DNF*,DNF,DNF,DNF,6,9,72,15
POL,8145,Mateusz Byrski,Aleksandra Gill,UKS NAVIGO Sopot YACHT CLUB STAL,DNF*,14,14,14,12,RET,73,16
POL,7820,Marcin O. Pietrzak,Marcin Pietrzak,SAILING LEGIA - LEGIA WARSZAWA/MKS Dwójka Warszawa,RET*,RET,DNF,DNF,DNF,DNF,95,17
POL,9020,Justyna Bunar,Anna Smela,BTŻ Solina,DNF*,NSC,DNF,DNF,DNF,DNF,95,17
