,Nr,Sternik,Załogant,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Pkt,Miejsce
POL,9170,Karol Milewski,Bartosz Milewski,Yacht Klub Stal Gdynia,1,3,4,2,DNC*,1,1,12.00,1
POL,8875,Dariusz Konopczak,Paweł Henszke,KS Centrum Żeglarskie Szczecin,2,2,2,1,2,4,DNC*,13.00,2
POL,9119,Paweł Choroba,Bartosz Chroł,KŻ Horn Kraków/PSK505,5,1,1,DNC*,3,3,2,15.00,3
POL,8802,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,4*,4,3,4,1,2,3,17.00,4
POL,8483,Mariusz Michalski,Piotr Duma,Yacht Klub Stal Gdynia/PSK505,7*,6,7,3,4,5,5,30.00,5
POL,7237,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,10*,9,5,6,7,7,4,38.00,6
POL,8028,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,6,8*,8,7,5,6,7,39.00,7
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,8,7,9*,5,6,8,6,40.00,8
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,Yacht Klub Stal Gdynia,9,5,6,DNC*,DNC,DNC,DNC,53.00,9
POL,8493,Mieczysław Szwed,Konrad Plewa,KS Centrum Żeglarskie Szczecin,3,DNC*,10,DNC,DNC,DNC,DNC,57.00,10
