Country,Sail No,Helms_Name,Crews_Name,Sailing_Club,R1,R2,R3,R4,R5,R6,R7,Pts,Pos
GBR,9215,Roger Gilbert,Ben McGrane,Netley SC,1,1,1,2,1,1,‑4,7,1st
GBR,9240,Nathan Batchelor,Sam Pascoe,Tynemouth,‑6,2,2,4,3,6,1,18,2nd
GBR,8935,Michael Sims,Carl Gibbon,Carsington,2,5,(RTD),3,2,4,2,18,3rd
GBR,9196,Penny Clark,Russell Clark,SBSC/RNSA,4,3,3,5,4,2,‑8,21,4th
GBR,9093,Alex Barry,Harry Briddon,Ogston SC,(DNF),4,4,1,6,3,6,24,5th
GBR,9177,Tom Jeffcoate,Tim Hartley,chew valley,3,‑6,5,6,5,5,3,27,6th
GBR,9203,Jim Blyth,Jude Beamers,Largo Bay,5,7,6,8,8,8,(DNC),42,7th
GBR,9158,Duncan Barr,Scott Dawson,Netley SC,7,8,(RTD),7,7,9,7,45,8th
GBR,8514,TBA,Richard Nurse,Northampton,(DNC),DNC,DNC,DNC,9,7,5,57,9th
GBR,8497,Chris Jones,Robert Temple,Trearddur Bay,9,9,(DNC),DNC,10,10,DNC,62,10th
GBR,9232,Steve Irish,Norman Byrd,Draycote,8,(RTD),DNC,DNC,DNC,DNC,DNC,68,11th
