SAIL,NUMBER,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,BOAT NAME,TOTAL,NET,Place
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz Yacht Club,3,2,2,[4],1,1,IO Integration,13,9,1
USA,9106,Michael Martin,Caleb Paine,StFYC,2,3,1,1,[4],3,None,14,10,2
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,[4],1,3,3,2,2,None,15,11,3
USA,90*,Ted Conrads,,Tbd,1,[4],4,2,3,4,Ibiwcyhi,18,14,4
USA,9004,Eric Anderson,,StFYC,[7],5,5,6,6,5,N = 1,34,27,5
USA,8931,Elsa Balton,Blaine Pedlow,StFYC,5,[8],6,5,5,6,Mugatu,35,27,6
USA,8084,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,6,6,7,[8],7,7,Rob's Olde Boat,41,33,7
USA,8753,Ryan Nelson,Mike Bishop,Encinal Yacht Club,[8],7,8,7,8,8,Rogue Rigging ,46,38,8
IRL,7875,Ian O'Leary,Jv Gilmore,Byc,[DNC - 11],DNC - 11,DNC - 11,9,9,DNC - 11,OLeary construction LLC ,62,51,9
USA,8937,Tim Murphy,,None,[DNC - 11],DNC - 11,DNC - 11,DNC - 11,DNC - 11,DNC - 11,None,66,55,10
