Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,R7,R8,T,N,Nr
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,1,1,1,2,2,1,1,[4],13,9,1
GER,9256,Jens Biederer,Jan Reifferscheidt,HSC,2,4,3,1,3,[9],2,2,26,17,2
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,3,2,6,3,1,8,4,[21]DNC,48,27,3
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,5,[13],4,4,4,3,3,7,43,30,4
SWE,9181,Malin Broberg,Johan Röök,BKSS,4,3,2,[8],5,7,5,5,39,31,5
GER,9149,Anton Moritz Meyer,Rolf Meyer,SCED,6,9,5,[16],6,2,9,3,56,40,6
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aalborg Sejlklub,8,5,[10],7,9,5,10,9,63,53,7
SWE,9222,Tomas Franzen,Lars Lindgren,RJK,7,11,7,12,8,6,7,[13],71,58,8
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,9,12,9,11,[14],12,8,1,76,62,9
DEN,9243,Per Larsen,Christian Mogensen,Hellerup Sejlklub,12,8,12,14,13,4,[17],6,86,69,10
SWE,9171,Martin Fridh,Mats Dahlander,RJK,13,7,14,6,10,10,13,[15],88,73,11
DEN,9025,Christian Seilman,Henrik Thomasen,Middelfart Sejlklub,16,10,11,5,[21]DNF,11,11,12,97,76,12
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,14,[15],13,10,7,15,12,8,94,79,13
DEN,8827,Torben Pihl,Klaus Søndergaard,Holbæk Sejlklub,10,14,[15],13,11,13,15,11,102,87,14
SWE,9187,Jonas Berntsson,Magnus Lundberg,nn,11,6,8,9,12,[21]DNC,21DNC,21DNC,109,88,15
DEN,843*,Kasper Agerbæk,Claus Pedersen,Holbæk Sejlklub,19,,,[21]DNF,21DNC,18,18,17,114,93,16
DEN,924*,Jon Andersen,Lasse B. Andersen,Reersø Bådeklub,[18],16,17,18,16,14,6,10,115,97,17
AUS,9225,Earle Alexander,,,15,17,16,17,[21]DNF,16,14,14,130,109,18
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,17,[18],18,15,15,17,16,16,132,114,19
DEN,9109,Hans Genefke,Søren Hjorth,Skælskør Amatør-Sejlklub,20,19,19,[21]DNF,21DNC,19,19,18,156,135,20
