Sail,Number,Team,,Club,R1,R2,,R3,R4,R5,R6,T,N,Nr
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,1,,[3],1,2,3,12,9,1
FIN,8835,Otto Toivanen,Matti Pentti,HSK,1,[4],,1,2,3,4,15,11,2
FIN,9069,Sofia Toroi,Tuomas Laurila,EMK,[4],2,,4,3,1,2,16,12,3
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,[6],3,,2,4,4,1,20,14,4
FIN,8912,Raimo Raita,Juha Nurmela,Vene 71,3,5,,5,[8],7,8,36,28,5
FIN,9212,Thomas Held,Timo Vennonen,BSS,7,7,,[9],5,5,5,38,29,6
FIN,8466,Hannu Pöyry,Matti Dillemuth,VVK,[9],6,,7,6,6,7,41,32,7
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,5,[8],,8,7,8,6,42,34,8
FIN,8741,Taru Karttunen,,HSS,8,[9],,6,9,9,9,50,41,9
FIN,8659,Inka Näkkäläjärvi,Antti Hänninen,M,[11]DNC,11DNC,,11DNC,11DNC,11DNC,11DNC,66,55,10
