Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Place
FRA,9220,Philippe Boite,Marin Carnot,CVSQ / CVSQ,1,1,1,1,2,1,7,5,1
FRA,9081,Gilles Chapelin,Christian Chapelin,C V BORDEAUX C M / CVML,4,3,DNS 16,3,1,3,30,14,2
BEL,,Bas Van Assche,Toon Van Assche,BELGIQUE / Belgique,3,2,3,5,9,2,24,15,3
FRA,8950,Bastian le Morvan,Antoine Victor,ASPTT TROYES VOILE / Y C ILE DE FRANCE,2,5,4,2,4,5,22,17,4
FRA,8954,Muriel Jeanne,Franck Agrapart,C N HAUTE SEINE / C N HAUTE SEINE,5,4,2,11,3,13,38,25,5
FRA,8716,Aline Martin,Nicolas Martin,Y C ILE DE FRANCE / C V SEINE-PORT,11,10,5,9,5,4,44,33,6
BEL,8613,Kim Van Assche,Tessa Liebens,BELGIQUE / Belgique,10,6,6,7,11,6,46,35,7
FRA,9076,Serge Gubri,Nicolas Radier,C V SEINE-PORT / C N TREGASTEL,6,7,9,6,8,9,45,36,8
BEL,8553,Pierre Gorremans,Jean Gorremans,BELGIQUE / Belgique,9,9,10,4,13,8,53,40,9
BEL,8949,Cédric Crets,Lionel Lambert,BELGIQUE / Belgique,8,12,8,8,12,10,58,46,10
BEL,9121,Paul Gorremans,Marie-Pierre Hayette,BELGIQUE / Belgique,DNC 16,11,7,10,10,11,65,49,11
FRA,8870,Christian Silvestre,Rene Stanislas,Y C ILE DE FRANCE / LES GLENANS,7,8,11,14,14,14,68,54,12
FRA,9219,Elisabeth Neidhart,Matthieu Gougeon,Y C ILE DE FRANCE / ASPTT TROYES VOILE,DNC 16,DNC 16,DNC 16,12,6,7,73,57,13
SUI,9060,Catherine Houriet,Giles Donzé,SUISSE / Suisse,DNC 16,DNC 16,DNC 16,13,7,12,80,64,14
FRA,9010,Gilles Carvallo,Sebastien Brigonne,C N HAUTE SEINE / C N HAUTE SEINE,DNC 16,DNC 16,12,15,15,DNS 16,90,74,15
