FRA,e Identif,Concurrent,,Club ou Pays,Co. 1,Co. 2,Co. 3,Co. 4,Co. 5,Co. 6,Co. 7,Co. 8,Co. 9,Crew club,Pts Tot,Pts Ret,Plac
FRA,*14959,Olivier Patrice,Collin Ludovic,C N E PAIMBOEUF,11,1,2,2,2,[BFD 32],6,1,3,,60,28,1
FRA,9147,De Kergariou Herve,Dechauffour Valentin,ASN QUIBERON,7,2,6,5,[9],5,9,3,1,C N LORIENT,47,38,2
FRA,*68,Boime Bernard,Fonvielle Tanguy,CVSQ,1,6,[10],9,5,9,5,2,7,CVSQ,54,44,3
FRA,9220,Boite Philippe,Carnot Marin,CVSQ,[DNF 32],DNF 32,1,1,1,1,1,5,4,CVSQ,78,46,4
FRA,9045,Guillou Nicolas,Viaud Alban,S N P H,3,3,5,11,3,6,7,9,[13],C N B P P,60,47,5
FRA,*15012,Fouassier Bruno,Fouassier Dominique,CV ST AUBIN ELBEUF,6,11,[12],3,7,10,3,4,5,CV ST AUBIN ELBEUF,61,49,6
FRA,*22,Benoit Radier,Roblin Ludovic,AAN PORT-BLANC,8,7,3,7,12,12,11,[13],2,AAN PORT-BLANC,75,62,7
FRA,8869,Boyer Etienne,Boyer Emmanuel,LA PELLE-MARSEILLE,[DNF 32],8,17,8,11,2,4,11,6,C V BORDEAUX C M,99,67,8
FRA,*14973,Fouassier Yoann,Robillard Jean,CV ST AUBIN ELBEUF,5,5,11,13,4,[BFD 32],13,7,9,C V CENTRE,99,67,9
FRA,*776,Giustiniani Niels,Le Bouler Tom,S N LARMOR PLAGE,10,22,[DPIi 22],10,6,3,2,6,16,C N LORIENT,93,71,10
FRA,*1093,Emanuel Alexandre,Gourves Sophie,A C T V,2,12,7,4,14,7,[17],12,15,A C T V,90,73,11
FRA,9076,Gubri Serge,Collin Ludovic,C V SEINE-PORT,[NSC 32],10,8,12,8,8,12,10,11,BREST BRETAGNE NAUTI,111,79,12
FRA,*2041,Puissant Jean-Guy,Puissantmercy Line,CVLTP,12,[15],9,15,15,15,8,8,8,CVLTP,105,90,13
FRA,9211,Charles-Antoine de Joux,Chapelin Gilles,A S CHEMINOTS ROCH,4,4,4,6,10,4,[DNC 32],DNC 32,DNC 32,C V BORDEAUX C M,128,96,14
FRA,8870,Silvestre Christian,Martin Aline,Y C ILE DE FRANCE,9,[18],14,14,16,11,DPIi 15,15,10,Y C ILE DE FRANCE,122,104,15
FRA,*14977,Laillier Joel,Laillier Mathilde,C V CENTRE,13,19,18,19,13,[BFD 32],19,14,12,C V CENTRE,159,127,16
FRA,*2671,Duquesnel Denis,,YC Grenoble Chara.,16,13,15,20,[21],18,15,16,17,,151,130,17
FRA,*2045,Herlem Jean-Jacques,Carreau Pascal,CV Soustons Marensin,15,[DNF 32],20,22,18,14,16,19,18,C N COLLIOURE,174,142,18
FRA,*5305,Le Berre Laurie,Verger Sonia,GVSL,18,20,23,[25],23,20,18,23,14,C.V. Joué-lès-Tours,184,159,19
FRA,9068,De Lisle Francois,Lafortune Jordane,C N FERRET,[RET 32],DNF 32,19,16,17,13,22,20,21,C V SEINE-PORT,192,160,20
FRA,8444,Bertrand Degois,Nayl Driss,C N P K,22,17,[26],17,19,16,25,24,24,LA ROCHELLE NAUTIQUE,190,164,21
FRA,*1743,Aroux Maxime,Aroux Alexis,YC ROUEN 76,20,[DNF 32],22,18,24,19,20,18,23,YC ROUEN 76,196,164,22
FRA,*7,Menguy Thomas,Menguy Frederic,C N LA ROCHELLE,17,16,[27],27,22,22,23,22,22,C N LA ROCHELLE,198,171,23
FRA,*84,Labbey Mathieu,Aroux Martin,YC ROUEN 76,19,14,25,26,[DNS 32],DNC 32,24,25,20,YC ROUEN 76,217,185,24
FRA,*393,Filleul Axandre,Boinet Timon,YC ROUEN 76,25,23,21,24,20,21,[26],26,26,YC ROUEN 76,212,186,25
FRA,*2038,Gueniffet Jean Baptiste,Thompson Julien,ASPTT Orléans Voile,[DNF 32],DNF 32,24,21,DNF 32,17,14,17,DNF 32,ASPTT Orléans Voile,221,189,26
FRA,9175,Caminade Francois,Emmanuel Binder,YC Grenoble Chara.,21,9,16,23,26,[DNF 32],DNC 32,DNC 32,DNC 32,C N Saint-Raphael,223,191,27
FRA,*819,Griboval Clement,Le Barbenchon Antoine,YC ROUEN 76,23,21,[28],28,25,23,27,27,25,YC ROUEN 76,227,199,28
FRA,*14887,Sevestre Francois,Sevestre Christine,CV ST AUBIN ELBEUF,14,[DNF 32],DNC 32,DNC 32,DNC 32,DNC 32,21,21,19,CV ST AUBIN ELBEUF,235,203,29
FRA,*1507,Soinard Thomas,,YC ROUEN 76,24,[DNF 32],DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,,280,248,30
FRA,8716,Doumic Augustin,,S N TRINITE S/MER,[DNF 32],DNF 32,DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,DNC 32,,288,256,---
