Tävling/klass,Segelnummer,HelmName,,Klubb,R1,R2,R3,R4,R5,R6,Total,Nett,Place
SWE,9181,Malin Broberg,,BKSS,2,1,1,1,[4],3,12,8,1
SWE,8962,Peter Bökmark,,BKSS,4,2.5,2,2,[6],1,17.5,11.5,2
SWE,9002,Per Wester,,BKSS,3,[4],3,3,1,4,18,14,3
SWE,8926,Ebbe Rosén,,Mälarhöjdens Kanotsällskap,1,2.5,[9],4,7,2,25.5,16.5,4
SWE,9143,Thomas Lundberg,,KSSS,[7],7,4,6,2,5,31,24,5
SWE,9029,Mikael Olesen,,KSSS,[11 DNS],6,5,5,3,6,36,25,6
SWE,9222,Tomas Franzen,,Råå Jolleklubb,5,5,6,[10],8,7,41,31,7
SWE,9171,Martin Fridh,,Råå Jolleklubb,6,8,7,7,[9],8,45,36,8
SWE,9117,Fredrik Molander,,BKSS,8,9,8,8,[10],10,53,43,9
SWE,8807,Didrik Dahlström,,KSSS,[11 DNC],11 DNC,10,9,5,9,55,44,10
