Country,Boat No,Skipper,Crew,Club,30/11 01,01/12 02,01/12 03,01/12 04,01/12 05,01/12 06,01/12 07,01/12 08,01/12 09,Boat Name,Total,Nett,Pos'n
AUS,9254,Mark Stowell,Jake Bessen,RFBYC,2,2,[3],[3],1,1,1,2,2,Restless Jet,17,11,1
AUS,8817,Michael Duffield,Anthony Gaunt,FSC,[5],[3],1,1,3,3,3,1,1,Tensing Norgay,21,13,2
AUS,9059,Christopher Paterson,Connall Hansord,FSC,1,1,[5],2,2,2,[5],5,4,Frankenjess,27,17,3
AUS,9264,Nicholas Mariani,Alex Thomson,FSC,3,[5],2,4,4,[5],2,4,3,Pinch N Roll,32,22,4
AUS,8811,Scott Olsen,Sean Gregory,FSC,4,4,4,[6],5,4,6,3,[11] RET,Crimson Autograph,47,30,5
AUS,9272,Matt Hansen,Ed Repsevicius,,[8],6,[8],5,7,6,4,6,7,Magic Roundabout,57,41,6
AUS,8667,Grant Abbott,Matthew Till,FSC/MOFSC,[9],7,7,7,6,[8],8,8,5,Swing Shift,65,48,7
AUS,8968,Luke Abbott,Kieren Abbott,,6,9,6,[11] RET,[11] DNC,7,7,7,6,Devils Haircut,70,48,8
AUS,9017,Roger Pell,Byron Mavrick,RFBYC,7,8,[11] DNF,[11] DNS,11 DNC,11 DNC,11 DNC,11 DNC,11 DNC,String Theory,92,70,9
AUS,9049,Josh Tiull,Ash,,[11] RET,[11] DNC,11 DNC,11 DNC,11 DNC,11 DNC,11 DNC,11 DNC,11 DNC,Monte,99,77,10
