Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat Name,Points Total,Points Netto,Place
GER,9251,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,1,1,4,[8],1,1,,17,9,1
GER,8992,Lutz Stengel,Frank Feller,ROYC,3,3,2,1,4,[8],3,,24,16,2
GER,9057,Geeske Genrich,Johannes Kindermann,,7,5,4,[16],3,2,2,,39,23,3
GER,9199,Michael Daisenberger,Johannes Tellen,DTYC,2,2,3,[14],10,10,9,,50,36,4
GER,9122,Lena Stückl,Kilian Northoff,DTYC,9,[18],5,6,1,11,7,,57,39,5
GER,9185,Stefan Böhm,Gerald Roos,SCV,4,6,[9],9,9,5,6,,48,39,6
GER,9258,Alexander Holzapfel,Arne Wittemer,PSVK,6,7,7,12,7,3,[15],,57,42,7
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,8,11,11,3,2,[12],12,,59,47,8
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,10,8,[18],7,11,7,5,,66,48,9
GER,8955,Nicola Birkner,Angela Stenger,SVaW,5,[14],6,13,12,6,14,,70,56,10
GER,9182,Alexander Swade,Patrick Treichel,,13,12,8,8,5,[14],10,,70,56,11
GER,9231,Stefan Giesler,Frank Böhm,VSAW,11,9,15,5,[16],15,4,,75,59,12
GER,9260,Tim Böger,Finn Böger,HSC,12,15,[19],2,14,16,8,,86,67,13
GER,912*,Nils-Henning Hofmann,Margret Porschen,DYC,14,[16],14,11,13,4,11,,83,67,14
GER,9256,Jens Biederer,Ulf Denecke,HSC,[17],4,10,17,6,17,16,,87,70,15
GER,9030,Andreas Jungclaus,Thorsten Koch,HSC,20,19,13,10,[24],18,18,,122,98,16
GER,9070,Sophie Söllner,Andreas Achterberg,CYC,15,20,12,[DNC 27],15,23,13,,125,98,17
GER,9195,Dirk Penno,Christian Schönbach,,18,17,16,20,[21],9,20,,121,100,18
GER,8806,Anna Hauschild,Anja Stengel,SCS,16,10,20,[22],18,19,17,,122,100,19
GER,9066,Peter Gerdts,Christian Labenz,HSC,[22],21,17,15,20,13,19,,127,105,20
GER,8672,Dirk Hütten,Guido von Walter,,21,23,21,18,19,[25],21,,148,123,21
GER,9123,Martin Bernauer,Enno Wilts,CNFT,23,13,22,23,22,22,[DNF 27],,152,125,22
GER,8579,Peter Wackerbauer,Dubravka Lung,RSB,24,22,24,19,17,21,[DNF 27],,154,127,23
GER,8691,Felix Bernhardt,André Müller,,19,24,23,21,25,20,[DNF 27],,159,132,24
GER,9040,Harald König,Peter Zimmer,SRVL-S,25,[DNF 27],25,24,23,24,DNF 27,,175,148,25
GER,8518,Achim Funk,Kaus Michael Probst,SCLW,26,25,[DNC 27],DNC 27,DNC 27,DNC 27,DNC 27,,186,159,26
