Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
GER,8992,Lutz Stengel,Anja Stengel,ROYC,1,[3],,1,1,1,7,4,1
GER,9101,Timon Treichel,Morten Roos,DYC,2,2,,2,2,[3],11,8,2
GER,9258,Alexander Holzapfel,Finn Böger,PSVK,3,1,,[7],3,2,16,9,3
GER,8928,Andreas Porth,Martin Lietz,FSV03E.V.,5,[6],,4,4,4,23,17,4
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,4,4,,[6],5,5,24,18,5
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YCBTF,[8],5,,8,7,6,34,26,6
GER,8806,Anna Hauschild,Aron Tellen,SCS,6,7,,5,8,[15 DNC],41,26,7
GER,8519,Silvio Hilbrich,Marcus Wagner,YSC-SS,7,8,,[9],6,7,37,28,8
GER,9000,Julia Pösch,Thorsten Pösch,SCSZ,11,9,,3,[15 DNF],15DNC,53,38,9
GER,7848,Axel Dierich,Ralf Schneidewind,MYCVD,9,[10],,10,10,9,48,38,10
GER,9040,Harald König,Felix Weissensteiner,SRVL-S,[12],11,,11,9,8,51,39,11
GER,8997,Nadine Dresp,Ingolf Dresp,YCRA,13,12,,12,[15 DNF],10,62,47,12
GER,8958,Nicholas Melzwig,Katharina Menge,LRV,10,[15 DNC],,15DNC,15DNC,15DNC,70,55,13
GER,8972,Christian Dittmar,Jakob Hammersen,SSGR,14,[15 DNC],,15DNC,15DNC,15DNC,74,59,14
