Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points Total,Points Netto,Place
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,,1,2,1,1,[3],1,3,1,13,10,1
USA,9266,Mike Holt,Rob Woelfel,,4,5,[6],4,6,2,1,2,30,24,2
GER,9101,Timon Treichel,Morten Roos,,3,7,2,2,4,[10],8,8,44,34,3
USA,926*,Howard Hamlin,Jon Bell,,5,6,4,5,[10],3,10,7,50,40,4
GBR,9238,Ian Pinnell,Charles Dwyer,,8,15,[22],3,2,6,2,9,67,45,5
FRA,9270,Philippe Boite,Timothee Chiron,,[18],3,5,8,16,12,5,5,72,54,6
GER,9258,Alexander Holzapfel,Arne Wittemer,,2,12,3,11,[18],8,17,4,75,57,7
GER,9185,Stefan Böhm,Gerald Roos,,9,17,16,16,1,7,7,[20],93,73,8
GER,9197,Nicola Birkner,Angela Stenger,,6,9,12,[22],17,19,4,6,95,73,9
GER,9198,Michael Daisenberger,Johannes Tellen,,7,16,8,17,11,4,[20],12,95,75,10
GER,9260,Tim Böger,Finn Böger,,14,11,10,[19],5,5,15,18,97,78,11
GER,9231,Stefan Giesler,Frank Böhm,,[25],8,9,10,7,11,9,24,103,78,12
GER,912*,Nils-Henning Hofmann,Mathias Weidenbach,,10,1,23,12,[28],16,6,13,109,81,13
GBR,9247,Mike Punnett,Alex Davies,,13,[22],19,7,8,13,14,11,107,85,14
GER,9122,Lena Stückl,Kilian Northoff,,12,13,[18],9,12,18,12,16,110,92,15
SUI,9096,Cédric Bart,René Betschen,,17,[25],13,13,9,9,24,10,120,95,16
SUI,9267,Caroline Jacot,Philippe Jacot,,11,20,26,14,13,RET [30],11,3,128,98,17
GER,9*,Alexander Swade,Patrick Treichel,,16,14,17,6,[24],15,18,19,129,105,18
GER,9131,Jörn Wille,Martin Bergmann,,20,4,21,20,19,RET [30],16,15,145,115,19
BEL,9121,Paul Gorremans,Jean Gorremans,,23,18,7,[25],20,17,23,22,155,130,20
AUS,9134,Michael Quirk,Luke Payne,,15,19,11,18,15,RET [30],DNC 30,DNC 30,168,138,21
BEL,9163,Pierre Gorremans,Gilles Chapelin,,19,21,14,26,27,RET [30],13,21,171,141,22
FRA,9218,Bertrand Commeil,Charles Commeil,,[27],24,15,15,22,14,26,25,168,141,23
FRA,9159,Braun-Julius Dullaeus,Piet Strohm,,24,10,29,21,26,RET [30],22,17,179,149,24
FRA,9219,Elisabeth Neidhart,Pierre-Jean Gallo,,26,26,20,27,21,RET [30],19,23,192,162,25
FRA,9150,Valentin Dechauffour,Pierre Gendry,,22,23,27,23,23,20,25,DNC [30],193,163,26
GER,9133,Frieder Achterberg,Wolfgang Stückl,,21,28,28,24,14,RET [30],27,26,198,168,27
GBR,9261,Martin Wedge,Graham Elliot,,28,27,25,28,25,RET [30],21,14,198,168,28
GER,9195,Dirk Penno,Ingolf Dresp,,29,29,24,29,RET [30],DNC 30,DNC 30,DNC 30,231,201,29
