Country,Sail,Gelm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Sailor ID,Total,Netto,Place
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,1,1,2,2,[3],2,2,,13,10,1
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻLKS Poznań,3,3,[OCS 15],1,2,1,1,,26,11,2
POL,7606,Robert Bartlewski,Stanisław Karmoliński,YKP Gdynia,2,2,1,[3],1,3,3,,15,12,3
POL,8769,Michał Ruciński,Bartosz Sadowski,Polski Związek Klasy Omega,[11],11,3,5,4,4,5,,43,32,4
POL,8906,Jacek Ludwiczak,Grzegorz Szreder,YK Stal Gdynia,6,[10],5,9,5,9,4,,48,38,5
POL,8665,Marcin Panek,Jakub Grabowski,PSK505,8,5,6,8,[9],6,8,,50,41,6
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin,10,9,8,4,[OCS 15],5,7,,58,43,7
POL,8909,Michał Kępski,Maksymilian Zaniewski,RKS Lasery Zegrze,9,[12],4,7,10,7,6,,55,43,8
POL,9119,Krzysztof Kluza,Kacper Madoń,ŻLKS Poznań,7,4,9,[OCS 15],6,8,DSQ,POLKK42,64,49,9
POL,9255,Tomasz Polikowski,Adam Najmowicz,YK Stal Gdynia,4,6,10,12,8,12,[13],,65,52,10
POL,8875,Piotr Duma,Mariusz Michalski,JKM Neptun/YK Stal Gdynia,5,7,[OCS 15],6,12,11,12,,68,53,11
POL,8751,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,13,8,7,[OCS 15],13,10,10,,76,61,12
POL,8656,Anna Zabłocka,Jędrzej Bering,KS Centrum Żeglarskie Szczecin,[14 15],13,11,11,7,14,9,,79,65,13
POL,8770,Jakub Gąsiorowski,Jarosław Mikienko,YK Stal Gdynia/YKP Gdynia,12,14,[OCS 15],10,11,13,11,,86,71,14
