Country,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Points,Place
SWE,9181,Malin Broberg,Johan Röök,Björlanda Kile Segelsällskap,3,1,4,1,[7],3,1,20,13,1st
SWE,9002,Per Wester,Lars Wester,Björlanda Kile Segelsällskap,5,2,3,[7],1,1,6,25,18,2nd
SWE,8962,Peter Bökmark,Martin Persson,Björlanda Kile Segelsällskap,1,4,1,[8],3,7,7,31,23,3rd
SWE,9171,Martin Fridh,Mats Dahlander,Råå Jolleklubb,[8],8,2,2,5,4,2,31,23,4th
SWE,8859,Tomas Berg,Johan Calvert,Björlanda Kile Segelsällskap,2,5,[8],6,4,6,3,34,26,5th
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,Kungliga Svenska Segel Sällskapet,4,3,5,5,[8],5,4,34,26,6th
SWE,9013,Anders Nilsson,Jonas Palmkvist,Abbekås Båtklubb,7,[9],7,4,2,2,5,36,27,7th
SWE,9038,Jakob Lindvall,Karl Byrenius,Åre Slalomklubb Segling,9,7,9,3,6,8,[11 DNS],53,42,8th
SWE,9029,Mikael Olesen,Ulf Camitz,Viggbyholms Båtklubb,6,6,6,[11 DNS],11 DNS,11 DNS,11 DNS,62,51,9th
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,[11 DNC],11 DNC,11 DNS,11 DNS,11 DNS,11 DNS,11 DNS,77,66,10th
