Nat,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Nett,Rank
SWE,9217,Carl-Fredrik Fock,Johan Barne,GKSS/LJSS,2,2,1,2,1,1,1,[23 DNC],33,10,1
SWE,9181,Malin Broberg,Johan Röök,BKSS,4,1,[9],1,3,2,3,4,27,18,2
SWE,8962,Peter Bökmark,Martin Persson,BKSS,1,7,7,3,4,[23 DNF],7,7,59,36,3
GER,9256,Jens Biederer,Thomas Wasilewski,Kieler Yacht-Club e.V/SLRV,13,6,4,4,[19],5,2,3,56,37,4
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,Holbæk,7,10,[13],7,2,3,9,1,52,39,5
SWE,8859,Tomas Berg,Johan Calvert,BKSS,5,4,2,6,5,7,15,[23 DNC],67,44,6
SWE,9171,Martin Fridh,Mats Dahlander,RJK/LBS,3,8,3,9,10,[14],6,5,58,44,7
SWE,9002,Per Wester,Lars Wester,BKSS,8,3,5,8,8,6,[16],6,60,44,8
SWE,9259,Tore Reinhold,Mikael Gustafsson,BKSS,10,11,14,10,[17],4,4,2,72,55,9
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,[11],9,6,11,7,9,10,8,71,60,10
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,SSÅV,9,[16],12,12,15,11,8,10,93,77,11
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,6,5,8,5,9,[23 DNC],23 DNC,23 DNC,102,79,12
SWE,9013,Anders Nilsson,Jonas Palmkvist,ABBK/LBS,[19],17,15,17,11,12,5,9,105,86,13
SWE,9029,Mikael Olesen,Ulf Camitz,VBK/KSSS,14,13,10,14,16,10,11,[23 DNC],111,88,14
SWE,9038,Jakob Lindvall,Karl Byrenius,ÅRE SL,16,[19],17,18,13,8,12,11,114,95,15
SWE,8974,Thomas Widstrand,Rolf Mattsson,BKSS,17,18,[19],13,12,13,13,13,118,99,16
GER,8798,Fredrik Hansson,Mattias Alm,BKSS,12,12,11,[23 DSC],6,23 DNF,14,23 DNC,124,101,17
SWE,8917,Jesper Fowelin,Patrik Linder,ÖLSS/BKSS,18,15,16,16,14,15,[23 DNC],12,129,106,18
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,15,14,18,15,18,[23 DNC],23 DNC,23 DNC,149,126,19
SWE,9107,Katarina Boyd,Sven Flood,KKKK/BKSS,20,21,21,20,20,[23 DNS],23 DNC,23 DNC,171,148,20
SWE,8419,Tomas Tegethoff,Maria Dansdotter,VBK,21,20,20,19,[23 DNF],23 DNS,23 DNC,23 DNC,172,149,21
DEN,9224,Christian Kongsbak Poulsen,Sebastian Lang,Frederikshavn Sejlklub,22,[23 DNS],22,21,23 DNF,23 DNC,23 DNC,23 DNC,180,157,22
