Country,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Crew Club,Total,Netto,Rank
GBR,9246,Michael Sims,Carl Gibbon,Carsington SC,5,2,2,1,1,1,[12],1,Burton SC,25,13,1
USA,9262,Howard Hamlin,Andrew Zinn,NHYC - ABYC,1,1,3,[4],3,2,1,2,NHYC,17,13,2
AUS,9134,Michael Quirk,Tim Needham,RCB,2,3,1,2,4,[8],3,5,RCB,28,20,3
GBR,9253,Nathan Batchelor,Sam Pascoe,Tynemouth SC,4,4,5,5,2,3,[7],4,,34,27,4
GBR,9215,Roger Gilbert,Ian Mitchell,Hayling Island SC,3,5,4,3,7,5,[13],6,Hayling Island SC,46,33,5
USA,9266,Mike Holt,Reeve Dunne,Santa Cruz YC,6,[10],6,7,9,4,6,3,Santa Cruz YC,51,41,6
GBR,9238,Ian Pinnell,Charles Dwyer,Hayling Island SC,7,6,8,[10],5,7,8,8,Royal Cork YC,59,49,7
FRA,9270,Philippe Boite,Tim Chiron,CVSQ,[11],8,9,9,10,6,2,7,Asce Voile Espar,62,51,8
GBR,9232,Rob Gullan,Paul Childs,Hayling Island SC,8,7,[12],6,6,12,9,9,Hayling Island SC,69,57,9
GBR,9214,Andy Smith,Jonny Mildred,Northampton SC,10,9,7,12,11,11,11,[22],Northampton SC,93,71,10
GBR,9085,Charles Walters,Dougal Cram,Datchet Water SC,13,13,10,[14],12,10,4,12,Datchet Water SC,88,74,11
GBR,8935,Craig Burlton,Richard Anderton,Royal Southern YC,14,[RET 25],11,8,8,9,15,11,,101,76,12
GBR,9124,Terry Scutcher,Matt Hart,Shotley SC,12,11,[14],13,13,13,5,10,Shotley SC,91,77,13
CAN,9200,Alexander „Ali” Meller,Devlin Lovshin,Kingston YC,9,12,13,15,[16],16,14,13,Nepean SC,108,92,14
FRA,9147,Hervé de Kergariou,Ludovic Roblin,Yacht Club Ile de France,15,14,15,11,14,15,[19],14,C N Port Blanc,117,98,15
GBR,8970,Terry Curtis,Gavin Poulloin,Castle Cove SC,16,18,19,16,17,[21],16,16,Castle Cove SC,139,118,16
GBR,8963,Martin Hodgson,Adrian Miles,Stone SC,18,21,16,[RET 25],DNC 25,14,10,15,Stone SC,144,119,17
GBR,9261,Martin Wedge,Graham Elliot,505 Assoc.  505 Assoc.,17,15,18,17,[22],19,17,19,,144,122,18
GBR,8881,Charlie Chandler,Owen Mills,Tewkesbury SC/Bartley SC,[DNC 25],DNC 25,17,19,15,17,18,17,Tewkesbury SC,153,128,19
GBR,8708,Sam Goult,Alex Hopkins,Frensham Pond SC,19,17,20,18,19,22,[23],18,Irish National SC,156,133,20
FRA,9219,Elisabeth Neidhart,Antoine Victor,YCIF,20,20,[23],20,18,23,21,20,YCIF,165,142,21
GBR,9036,Neville Herbert,Lewis Fowler,Lymington Town SC,[DNC 25],16,22,21,20,20,20,[RET 25],Tewksbury SC,169,144,22
GBR,8925,Ben McLaughlin,Joseph Hotchkiss,Clevedon SC,21,19,24,[DNC 25],21,24,24,23,Clevedon SC,181,156,23
GBR,9168,Miles Odell,Andrew Streeter,Hayling Island SC/Northampton SC,DNS 25,DNS 25,21,[RET 25],DNC 25,18,22,21,Hayling Island SC,182,157,24
