Sail,Number,Helm,Crew,Club/Org,R1,R2,R3,R4,R5,R6,R7,R8,Boat Name,Total,Net,Place
USA,9106,Mike Martin,Adam Lowry,StFYC,1,1,1,1,3,1,[4],2,Tarrific,14,10,1
USA,9248,Eric Anderson,Nic Baird,St.FYC,2,2,[OCS - 14],2,1,5,3,1,N = 2,30,16,2
USA,9072,Michael Holt,Patrick Diola,SCYC,3,3,2,[5],2,4,1,3,None,23,18,3
USA,8714,Jon Bell,Chris Kayda,Santa Barbara Yacht Club,[6],4,3,3,4,3,6,4,The Black Boat,33,27,4
CAN,9216,Robert Tennant,Steve Bourdow,RVicYC,4,6,5,4,5,2,2,[7],None,35,28,5
USA,8576,Mike Punnett,Bruce Edwards,PCYC/SCYC,5,5,4,6,6,[8],5,6,None,45,37,6
USA,9116,Jimmy Franzone,Bjorn Antell,StFYC,8,[DNF - 14],6,8,7,6,7,9,Rocket Surgery,65,51,7
USA,9142,Douglas Hagan,Paul Pihl,PCYC,[12],9,10,7,8,7,9,5,Panic,67,55,8
USA,8937,Tim Murphy,Chris Pittack,SCYC,10,10,8,[DNS - 14],10,9,8,8,None,77,63,9
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club/ACSC,9,7,7,10,11,10,[DNF - 14],DNS - 14,Team Rogue Rigging,82,68,10
USA,9027,Pierre Jeangirard,Paul Vongrey,PCYC,7,8,9,9,9,[DNS - 14],DNS - 14,DNS - 14,Dance monkey ,84,70,11
USA,7875,Ian O'Leary,,ACSC,11,11,[DNF - 14],DNS - 14,DNC - 14,DNC - 14,DNC - 14,DNC - 14,O’Leary construction.,106,92,12
USA,9153,Andrea Ciccardi,Joby Overton,ACSC,13,[DNF - 14],DNF - 14,DNS - 14,12,DNF - 14,DNS - 14,DNS - 14,None,109,95,13
