Sail Number,Helm,Crew,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Boat Name,Total,Net,Place
USA 9091,AJ Conrads,Jon Bell,Tahoe,3,1,[4],1,1,4,"[TIE - 4,5]",2,4,1,1,Eileen,"26,5",18,1
USA 9266,Howard Hamlin,Jeff Nelson,NHYC ABYC,1,2,1,2,[3],2,3,[8],3,3,2,Larry's last 505,30,19,2
USA 9072,Mike Holt,Rob Woelfel,Santa Cruz YC,[6],4,3,4,4,1,1,1,2,[6],3,None,35,23,3
GBR 9253,Eric Anderson,Nic Baird,StFYC,5,5,[11],3,5,[6],2,5,1,2,5,Mr. RDL,50,33,4
USA 9106,Mike Martin,Adam Lowry,StFYC,[11],6,2,[8],2,3,7,3,5,4,7,Big Beautiful Boat,58,39,5
USA 8576,Mike Punnett,Rich Mundell,PCYC,[14],[16],7,6,9,7,"TIE - 4,5",4,9,8,4,None,"88,5","58,5",6
USA 9252,Douglas Hagan,Paul Von Grey,PCYC,4,[9],5,[9],8,9,8,7,8,5,8,Panic,80,62,7
USA 8939,Clark Hayes,Eric Schwab,CYC,2,10,8,10,[11],5,6,6,[11],7,11,Controlled Chaos,87,65,8
USA 9165,Pete Spaulding,Ted Conrads,PYC,7,7,6,7,6,8,9,[11],6,[12],10,None,89,66,9
USA 8829,Miles Johannessen,Evan Sjostedt,Penn Cove Yacht Club,10,3,10,5,13,[DNF - 21],13,9,[14],10,6,None,114,79,10
USA 9027,Pierre Jeangirard,,PCYC,8,8,[14],11,10,10,10,10,10,[16],13,Dance monkey, 120,90,11
USA 9208,Elsa Balton,Blaine Pedlow,Penn Cove YC / StFYC,13,[14],9,12,7,11,11,[14],7,9,12,Alebrije,119,91,12
USA 8864,Aaron Ross,Paul Pihl,CBC,12,13,12,14,[16],12,16,15,12,11,[DNS - 21],None,154,117,13
USA 909,Nathan de Vries,Andrea Ciccardi,Alameda Sailing Center,16,15,[19],13,12,15,12,16,[19],17,9,None,163,125,14
USA 8937,Tim Murphy,Pat Diola,SCYC,9,12,15,16,[20],18,14,19,[20],15,14,None,172,132,15
USA 8782,Colin Wahl,Ian Reeves,PCYC,[19],11,17,17,[19],14,18,13,15,14,17,PEG,174,136,16
USA 8616,Lee Laney,Nick Blair,PCYC,15,[DNF - 21],[DNS - 21],18,14,13,15,12,13,18,18,Miami Vice,178,136,17
USA 9172,Paul Scoffin,Jason Breeden,Navy Sailing Club SD,18,18,13,15,15,16,[20],17,17,13,[DNS - 21],Tamaki,183,142,18
USA 9116,Jimmy Franzone,Bjorn Antell,StFYC,17,17,16,[20],17,19,17,[20],16,19,15,Thank you PVG!,193,153,19
USA 9227,Christian Pittack,Anne Fitzpatrick,PCYC,[20],19,18,19,18,17,19,18,18,[20],16,Touch of Grey,202,162,20
