Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
FRA,9270,Philippe Boite,Timothée Chiron,,1,1,1,4,2,2,7,1,,,8,1
FRA,22,Florence Lebrun,Ludovic Roblin,,4,2,2,1,1,1,10,3,,,10,2
FRA,9147,Hervé de Kergariou,Geraud Lafortune,,3,5,3,2,4,5,2,4,,,18,3
FRA,9220,Gilles Chapelin,Leonard Gien,,5,6,11,3,3,3,6,2,,,22,4
FRA,9044,Charles le Calvez,Simon Bocher,,2,8,7,7,6,6,14,5,,,33,5
FRA,8904,Anaïs Dechauffour,Benoît Radier,,7,7,4,10,7,4,4,11,,,33,6
FRA,8869,Etienne Boyer,Emmanuel Boyer,,8,3,10,8,9,9,3,8,,,39,7
FRA,9218,Bertrand Commeil,Charles Commeil,,DNC,DNC,DNC,5,8,11,1,6,,,49,8
FRA,8676,Coraline Roblin,Louis Radier,,13,11,6,6,5,8,13,14,,,49,9
FRA,9045,Nicolas Guillou,Nicolas Radier,,9,9,BFD,12,11,7,8,10,,,54,10
FRA,9150,Valentin Dechauffour,Pierre Gendry,,6,4,BFD,15,10,12,15,16,,,62,11
FRA,9219,Elisabeth Neidhart,Franck Agrapart,,14,10,12,13,12,10,11,7,,,62,12
FRA,9238,Antoine Victor,Alban Viaud,,10,14,5,11,14,14,12,12,,,64,13
FRA,8729,Emmanuel Desfond,Jordane Lafortune,,12,12,9,9,15,15,9,13,,,64,14
FRA,9031,Philippe Lucienne,Clement Vonck,,DNC,DNC,DNC,14,13,13,5,9,,,72,15
FRA,8885,Yves Chene Pierre,Julien Chazet,,11,13,8,16,16,16,17,15,,,79,16
FRA,321,Thierry Trompette,Tanguy Trompette,,15,DNF,13,17,17,17,16,17,,,95,17
