Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points Total,Points Netto,Place
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻEGLARSKI LUDOWY KLUB SPORTOWY KIEKRZ W,[2],1,1,1,2,1,1,1,2,12,10,1
POL,9140,Dominik Ostrowski,Maciej Goździk,,1,2,2,[5],4,4,3,2,5,28,23,2
POL,9110,Michał Ruciński,Bartosz Sadowski,POLSKI ZWIĄZEK KLASY OMEGA/UNIWERSYTET M,3,3,4,2,1,5,2,[11 DSQ],3,34,23,3
POL,9135,Dariusz Konopczak,Paweł Henszke,YACHT KLUB POLSKI SZCZECIN,4,5,3,3,5,2,4,[6],1,33,27,4
POL,9170,Marcin Panek,Jakub Grabowski,,5,4,6,4,3,3,8,7,[11 DNF],51,40,5
POL,9068,Paweł Kluczyński,Teofil Nowak,OŚ AZS W POZNANIU,6,7,5,[11 RET],6,6,5,3,4,53,42,6
POL,8875,Piotr Duma,Mariusz Michalski,KLUB ŻEGLARSKI NEPTUN/YK STAL GDYNIA,7,6,[8],6,7,7,7,4,7,59,51,7
POL,8656,Anna Zabłocka,Dawid Garguliński,CENTRUM ŻEGLARSKIE/KLUB ŻEGLARSKI KOTWIC,8,8,7,8,[9],8,6,5,6,65,56,8
POL,8770,Jakub Gąsiorowski,Jarosław Mikienko,YACHT KLUB STAL GDYNIA,[11 OCS],10,10,7,8,10,9,8,8,81,70,9
POL,9020,Justyna Bunar,Michał Prończuk,,[11 OCS],9,9,9,10,9,10,9,9,85,74,10
