Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
POL,9110,Jędrzej Charłampowicz,Bartosz Sadowski,Uniwersytet Morski Gdynia,3,1,[4],1,3,,12,8,1
POL,9140,Dominik Ostrowski,Maciej Goździk,SWOS Warszawa,2,3,1,[6],2,,14,8,2
POL,9135,Dariusz Konopczak,Paweł Henszke,YKP Szczecin,4,5,2,[9],1,,21,12,3
POL,8665,Marcin Panek,Jakub Grabowski,PSK505 / JK Krynica Morska,[5],4,5,3,5,,22,17,4
POL,8736,Sławomir Plichta,Andrzej Borowiak,UKŻ Lamelka Kartuzy / ŻLKS Poznań,1 (SCP),2,3,[UFD 12],9,,26,"18,6",5
POL,9068,Paweł Kluczyński,Teofil Nowak,OŚ AZS Poznań,6,[7],6,2,6,,27,20,6
POL,8656,Anna Zabłocka,Dawid Garguliński,Centrum Żeglarskie Szczecin / KŻ Kotwica Rogoźno,[10],8,8,4,7,,37,27,7
POL,8875,Mariusz Michalski,Piotr Duma,YK Stal Gdynia / JKM Neptun,7,6,7,8,[10],,38,28,8
POL,8906,Jacek Ludwiczak,Grzegorz Szreder,YK Stal Gdynia,9,9,[11],7,4,,40,29,9
POL,9020,Justyna Bunar,Michał Prończuk,Stowarzyszenie Puchar Soliny,8,[UFD 12],9,5,11,,45,33,10
POL,8770,Jakub Gąsiorowski,Jarosław Mikienko,YK Stal Gdynia,[UFD 12],10,10,UFD 12,8,,52,40,11
