Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
SWE,8859,Tomas Berg,Johan Calvert,Björlanda Kile Segelsällskap,1,2,[10],2,1,2,18,8,1
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,Kungliga Svenska Segel Sällskapet,[5],1,4,1,2,5,18,13,2
SWE,9181,Malin Broberg,Johan Röök,Björlanda Kile Segelsällskap,2,[7],1,3,6,4,23,16,3
SWE,9171,Martin Fridh,Mats Dahlander,Lommabuktens Seglarklubb,7,3,2,4,3,[14 DSQ],33,19,4
SWE,9029,Mikael Olesen,Ulf Camitz,Viggbyholms Båtklubb,3,[9],3,6,4,3,28,19,5
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,6,6,5,[14 DNS],7,1,39,25,6
SWE,8807,Didrik Dahlström,Joel Jelf,Kungliga Svenska Segel Sällskapet,[8],5,7,5,5,6,36,28,7
SWE,9038,Jakob Lindvall,Karl Byrenius,Åre Slalomklubb Segling,[9],4,9,7,8,7,44,35,8
SWE,9280,Anders Nilsson,Jonas Palmkvist,Abbekås Båtklubb,[10],10,6,8,9,8,51,41,9
SWE,9062,Olof Ekdahl,Patrik Linder,Björlanda Kile Segelsällskap,[11],11,8,9,10,9,58,47,10
SWE,8798,Fredrik Hansson,Mattias Alm,Björlanda Kile Segelsällskap,4,8,[14 DNF],14 DNS,14 DNS,14 DNC,68,54,11
SWE,9259,Tore Reinhold,Mikael Gustafsson,Björlanda Kile Segelsällskap,[14 DNC],14 DNC,14 DNC,14 DNC,14 DNC,14 DNC,84,70,
SWE,,Per Wester,Lars Wester,Björlanda Kile Segelsällskap,[14 DNC],14 DNC,14 DNC,14 DNC,14 DNC,14 DNC,84,70,
