Country,Boat Number,Helm,Crew,Club,Race1,Race2,Race3,Race4,Race5,Race6,Points Total,Points Netto,Place
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,Holbaek Sejlklub,1,3,1,[5],1,4,15,10,1
SWE,8859,Tomas Berg,Johan Calvert,Björlanda Kile Segelsällskap,4,1,[11],2,4,2,24,13,2
SWE,9002,Per Wester,Lars Wester,Björlanda Kile Segelsällskap,3,[6],5,3,2,1,20,14,3
SWE,9171,Martin Fridh,Mats Dahlander,Lommabuktens Segelklubb,6,4,[10],4,5,3,32,22,4
SWE,9143,Thomas K. Lundberg,Johan Strömdahl,Kungliga Svenska Segel Sällskapet,5,5,[7],1,6,6,30,23,5
DEN,9025,Henrik Kock Thomasen,Christian Seilman,Middelfart Sejlklub,8,7,2,6,3,[13 DNF],39,26,6
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,2,2,3,9,[13 DNF],13 DNF,42,29,7
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,7,9,4,[10],7,7,44,34,8
SWE,9038,Jakob Lindvall,Karl Byrenius,Åre Slalomklubb Segling,[10],8,6,8,8,8,48,38,9
SWE,8694,Jacob Munck af Rosenschöld,Magnus Munck af Rosenschöld,Lommabuktens Seglarklubb,11,11,9,7,9,[13 DNF],60,47,10
SWE,8974,Thomas Widstrand,Rolf Mattsson,"Björlanda Kile Segelsällskap,Vänersborg",[12],12,8,12,11,5,60,48,11
SWE,9062,Patrik Linder,Olof Ekdahl,Björlanda Kile Segelsällskap,9,10,[12],11,10,9,61,49,12
