Nation,Name,Club,Description,Birth Date,Website,Facebook,Death Date,Full Name,Height,Wikipedia,Sailor ID,email hash (gravatar md5),LinkedIn,Real Name,Instagram,Twitter,Endomondo
ARG,Alberto Enguix,,,,,,,,,,,,,,,,
ARG,Héctor Domato,,,,,,,,,,,,,,,,
ARG,Hector Garcia,,,,,,,,,,,,,,,,
ARG,Nicolas Katzenstein,,,,,,,,,,,e7a3a8d484382705ca5e57eb2bad58ae,,,,,
ARG,Pablo Sassot,,,,,,,,,,,,,,,,
AUS,Adam Brenz-Verca,,,,,,,,,,,,,,,,
AUS,Adam Linton,,,,,,,,,,,,,,,,
AUS,Adam Wyatt,,,,,,,,,,,,,,,,
AUS,Adrian Cooper,,,,,,,,,,,,,,,,
AUS,Adrian Finglas,,,,,,,,,,,,,,,,
AUS,Adrian Kiely,,,,,,,,,,,,,,,,
AUS,Alan Bessell,,,,,,,,,,,,,,,,
AUS,Alex Blacker,,,,,,,,,,,,,,,,
AUS,Alex Murray,,,,,,,,,,,,,,,,
AUS,Alex Thomson,,,,,,,,,,,,,,,,
AUS,Alexander Higgins,,,,,,,,,,,,,,,,
AUS,Alexandra Alder,,,,,,,,,,,,,,,,
AUS,Alexandra South,,,,,,,,,,,,,,,,
AUS,Amelia Catt,,,,,,,,,,,,,,,,
AUS,Amy Lee,,,,,,,,,,,,,,,,
AUS,Andrew Chisholm,,,,,,,,,,,,,,,,
AUS,Andrew Harry,,,,,,,,,,,,,,,,
AUS,Andrew McCole,,,,,,,,,,,,,,,,
AUS,Andrew McConaghy,,,,,,,,,,,,,,,,
AUS,Andrew Petch,,,,,,,,,,,,,,,,
AUS,Andrew Slater,,,,,,,,,,,,,,,,
AUS,Angus Higgins,,,,,,,,,,,,,,,,
AUS,Annabel Jones,,,,,,,,,,,,,,,,
AUS,Anthony Grant,,,,,,,,,,,,,,,,
AUS,Anthony Hansen,,,,,,,,,,,,,,,,
AUS,Anthony King,,,,,,,,,,,,,,,,
AUS,Antony Bale,,,,,,,,,,,,,,,,
AUS,Arne Lanatowitz,,,,,,,,,,,,,,,,
AUS,Aussie Higgins,,,,,,,,,,,,,,,,
AUS,Ayden Menzies,,,,,,,,,,,,,,,,
AUS,Ben Amos,,,,,,,,,,,,,,,,
AUS,Ben Davis,,,,,,,,,,,,,,,,
AUS,Ben Greenhough,,,,,,,,,,,,,,,,
AUS,Ben O'Brien,,,,,,,,,,,,,,,,
AUS,Ben Schulz,,,,,,,,,,,,,,,,
AUS,Bill Edwards,,,,,,,,,,,,,,,,
AUS,Bill Kennedy,,,,,,,,,,,,,,,,
AUS,Bill Travis,,,,,,,,,,,,,,,,
AUS,Bjorn Nielsen,,,,,,,,,,,,,,,,
AUS,Bob Fussell,,,,,,,,,,,,,,,,
AUS,Bob Kyrwood,,,,,,,,,,,,,,,,
AUS,Brad Webb,,,,,,,,,,,,,,,,
AUS,Bradley Clarke,,,,,,,,,,,,,,,,
AUS,Bradley Greenrod,,,,,,,,,,,,,,,,
AUS,Brady Lowe,,,,,,,,,,,,,,,,
AUS,Brendan Hughes,Darling Point Sailing Squadron,Sails 7233 Crocka Shocka,,,,,,,,,2ef0b6dc8e7e7dd95f3385c958696b84,,,,,
AUS,Brett Beyer,,,,,,,,,,,,,,,,
AUS,Brett Boulton,,,,,,,,,,,,,,,,
AUS,Brett Bowden,,,,,,,,,,,,,,,,
AUS,Brett Buckley,,,,,,,,,,,,,,,,
AUS,Brett Sharpe,,,,,,,,,,,,,,,,
AUS,Brett van Munster,,,,,,,,,,,,,,,,
AUS,Brett Whitbread,,,,,,,,,,,,,,,,
AUS,Brian Pike,,,,,,,,,,,,,,,,
AUS,Brian Price,,,,,,,,,,,,,,,,
AUS,Brian Robinson,,,,,,,,,,,,,,,,
AUS,Bronwyn Polkinghorne,,,,,,,,,,,,,,,,
AUS,Brooke Jones,,,,,,,,,,,,,,,,
AUS,Bryce Penfold,,,,,,,,,,,,,,,,
AUS,Byron Maverick,,,,,,,,,,,,,,,,
AUS,Cameron Dibb,,,,,,,,,,,,,,,,
AUS,Cameron McDonald,,,,,,,,,,,,,,,,
AUS,Carter Jackson,,,,,,,,,,,,,,,,
AUS,Charles Spence,,,,,,,,,,,,,,,,
AUS,Charlie Longbottom,,,,,,,,,,,,,,,,
AUS,Charlie Wyatt,,,,,,,,,,,,,,,,
AUS,Chris Carey,,,,,,,,,,,,,,,,
AUS,Chris Carter,,,,,,,,,,,,,,,,
AUS,Chris Eaton,,,,,,,,,,,,,,,,
AUS,Chris Gregg,,,,,,,,,,,,,,,,
AUS,Chris Hough,,,,,,,,,,,,,,,,
AUS,Chris Quirk,,,,,,,,,,,,,,,,
AUS,Chris Whyte,,,,,,,,,,,,,,,,
AUS,Christina Bowden,,,,,,,,,,,,,,,,
AUS,Christopher Charlwood,,,,,,,,,,,,,,,,
AUS,Christopher Paterson,,,,,,,,,,,,,,,,
AUS,Christopher Pearson,,,,,,,,,,,,,,,,
AUS,Clint Bowen,,,,,,,,,,,,,,,,
AUS,Conall Hansford,,,,,,,,,,,,,,,,
AUS,Connor Eaton,,,,,,,,,,,,,,,,
AUS,Craig Smith,,,,,,,,,,,,,,,,
AUS,Cullen Hughes,,,,,,,,,,,,,,,,
AUS,Curtis Hartmann,,,,,,,,,,,,,,,,
AUS,Dale Mitchell,,,,,,,,,,,,,,,,
AUS,Damian Carey,,,,,,,,,,,,,,,,
AUS,Damien Carey,,,,,,,,,,,,,,,,
AUS,Dan Cowan,,,,,,,,,,,,,,,,
AUS,Daniel Keys,,,,,,,,,,,,,,,,
AUS,Daniel Roos,,,,,,,,,,,,,,,,
AUS,Daniel Yaffey,,,,,,,,,,,,,,,,
AUS,Darren Cooney,,,,,,,,,,,,,,,,
AUS,Darren Gilbert,,,,,,,,,,,,,,,,
AUS,Darren Nicholson,,,,,,,,,,,,,,,,
AUS,Darryl Bentley,,,,,,,,,,,,,,,,
AUS,Darryl Emery,,,,,,,,,,,,,,,,
AUS,Daryl Roos,,,,,,,,,,,,,,,,
AUS,Dave Atwell,,,,,,,,,,,,,,,,
AUS,Dave Delaine,,,,,,,,,,,,,,,,
AUS,David Alexander,,,,,,,,,,,,,,,,
AUS,David Castles,,,,,,,,,,,,,,,,
AUS,David Christie,,,,,,,,,,,,,,,,
AUS,David Delaine,,,,,,,,,,,,,,,,
AUS,David J. Bull,,,,,,,,,,,,,,,,
AUS,David Meehan,,,,,,,,,,,,,,,,
AUS,David Mole,,,,,,,,,,,,,,,,
AUS,David Muel,,,,,,,,,,,,,,,,
AUS,David Ottaway,,,,,,,,,,,,,,,,
AUS,David Page,,,,,,,,,,,,,,,,
AUS,David Perlman,,,,,,,,,,,,,,,,
AUS,David Porter,,,,,,,,,,,,,,,,
AUS,David Thompson,,,,,,,,,,,,,,,,
AUS,Dean Blatchford,,,,,,,,,,,,,,,,
AUS,Dean Williams,,,,,,,,,,,,,,,,
AUS,Dennis Evans,,,,,,,,,,,,,,,,
AUS,Dennis Winstanley,,,,,,,,,,,,,,,,
AUS,Derek Milligan,,,,,,,,,,,,,,,,
AUS,Derick Warne,,,,,,,,,,,,,,,,
AUS,Doug Giles,,,,,,,,,,,,,,,,
AUS,Dustin Carlsson,,,,,,,,,,,,,,,,
AUS,Ed Cox,,,,,,,,,,,,,,,,
AUS,Edmond Repsevicius,Fremantle Sailing Club,,1962,,,,,,,,,,,,,
AUS,Edward Cox,,,,,,,,,,,,,,,,
AUS,Finlay Crisp,,,,,,,,,,,,,,,,
AUS,Frank Karlovecz,,,,,,,,,,,,,,,,
AUS,Fred Neill,,,,,,,,,,,,,,,,
AUS,Gary Hardman,,,,,,,,,,,,,,,,
AUS,Gary Rushton,,,,,,,,,,,,,,,,
AUS,Geoff Holden,,,,,,,,,,,,,,,,
AUS,Geoff Lange,,,,,,,,,,,,,,,,
AUS,Geoffrey Kyrwood,,,,,,,,,,,,,,,,
AUS,Gilbert Ford,,,,,,,,,,,,,,,,
AUS,Glen Murrie,,,,,,,,,,,,,,,,
AUS,Glen Stewart,,,,,,,,,,,,,,,,
AUS,Graeme Engert,,,,,,,,,,,,,,,,
AUS,Graeme Murphy,,,,,,,,,,,,,,,,
AUS,Graeme Spence,,,,,,,,,,,,,,,,
AUS,Graham Payne,,,,,,,,,,,,,,,,
AUS,Grahame Tindall,,,,,,,,,,,,,,,,
AUS,Grant Abbott,,,,,,,,,,,,,,,,
AUS,Grant Rose,,,,,,,,,,,,,,,,
AUS,Greg Clarke,,,,,,,,,,,,,,,,
AUS,Greg Illman,,,,,,,,,,,,,,,,
AUS,Greg Searant,,,,,,,,,,,,,,,,
AUS,Guy Robertson,,,,,,,,,,,,,,,,
AUS,Hamish Jarrett,,,,,,,,,,,,,,,,
AUS,Harry Mitton,,,,,,,,,,,,,,,,
AUS,Hugh Stodard,,,,,,,,,,,,,,,,
AUS,Hugh Stodart,,,,,,,,,,,,,,,,
AUS,Hugh Stoddart,,,,,,,,,,,,,,,,
AUS,Iain Jensen,,,,,,,,,,,,,,,,
AUS,Iain Murray,,,1958-04-14,,,,,,https://en.wikipedia.org/wiki/Iain_Murray_(sailor),,,,,,,
AUS,Ian Brown,,,1954-04-04,,100004068762535,,Ian Warwick Brown,,https://en.wikipedia.org/wiki/Ian_Brown_(sailor),,,,,,,
AUS,Ian Bryden,,,,,,,,,,,,,,,,
AUS,Ian Burford,,,,,,,,,,,,,,,,
AUS,Ian Davidson,,,,,,,,,,,,,,,,
AUS,Ian Dunn,Harbour Yacht Club,,,,,,,,,,,,,,,
AUS,Ian Gregg,,,,,,,,,,,,,,,,
AUS,Ian Jenkins,,,,,,,,,,,,,,,,
AUS,Ian McGillivray,,,,,,,,,,,,,,,,
AUS,Ian Murdoch,,,,,,,,,,,,,,,,
