Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
SWE,3046,Christer Båth, Pelle Båth,,1,1,1,2,1,2,ej,8,1
SWE,3106,Haraldson,,,2,2,2,5,4,5,ej,20,2
SWE,3086,Petersson,,,3,5,3,6,7,4,1,22,3
SWE,2924,Källfelt,,,8,6,6,14,2,6,2,30,4
SWE,2784,Kihlmark,,,10,19,7,3,11,1,5,37,5
SWE,2724,Odelberg,,,6,d,5,12,6,7,3,39,6
SWE,3205,Wiholm,,,11,3,14,4,5,12,4,39,7
SWE,2970,Heuman,,,5,4,9,9,14,10,6,43,8
SWE,2251,Westerlind,,,4,u,4,17,3,15,9,52,9
SWE,2729,Grandinsson,,,14,8,12,8,8,16,10,60,10
SWE,2641,Hellquist,,,18,7,11,1,17,17,8,61,11
SWE,2745,Westerlund,,,12,13,21,10,10,13,11,69,12
SWE,1983,Philberth,,,16,10,13,7,d,3,u,86,13
SWE,2962,Levy,,,25,12,22,16,18,9,15,92,14
SWE,2731,Forssell,,,13,11,10,u,9,u,14,94,15
SWE,2832,Arnborg,,,21,d,8,19,16,21,12,97,16
SWE,3147,Lundström,,,15,17,25,18,23,8,18,99,17
SWE,2437,Roman,,,17,15,19,21,20,11,17,99,18
SWE,2732,Torgny Nordström,,,22,16,17,15,15,19,20,102,19
SWE,3076,Nord,,,19,u,15,11,u,14,7,103,20
SWE,2623,Bohwalli,,,23,20,20,13,13,18,u,107,21
SWE,2458,Jacobsson,,,9,22,18,u,12,u,13,111,22
SWE,2539,R.Sandberg,,,20,18,23,24,22,22,16,121,23
SWE,1969,Wincrantz,,,28,21,16,22,19,24,19,121,24
SWE,2730,Robertsson,,,24,14,24,25,u,23,22,132,25
SWE,2276,Tinbäck,,,26,25,30,23,21,20,21,136,26
SWE,2438,T.Sandberg,,,31,24,26,29,27,25,23,154,28
SWE,1562,Nilsson,,,32,27,28,28,26,28,25,162,29
SWE,1828,Nordin,,,29,23,29,26,ej,ej,ej,179,30
SWE,1560,Zetterström,,,u,28,u,31,28,29,27,180,31
SWE,2650,Törsäter,,,ej,ej,ej,30,25,ej,26,189,32
SWE,1713,Huzell,,,30,u,ej,27,ej,27,u,193,33
SWE,1933,Bünzow,,,ej,ej,28,u,ej,ej,ej,209,34
SWE,1773,Sahlin,,,ej,ej,31,ej,ej,ej,36,212,35
SWE,3091,Bengtsson,,,7,9,d,ej,ej,ej,ej,160,36
