Nation,Sail No.,Helm,Crew,Club,Race 1,Race 2,Race 3,Overall,Position
GBR,8521,Paul Towers,Dan Johnson,G.W.S.C.,4,7,1,11.75,1st
GBR,8552,Mark Upton-Brown,Ian Mitchell,H.I.S.C.,10,1,6,16.75,2nd
GBR,8432,Debbie Jarvis,Nick Powell,G.W.S.C.,1,9,8,17.75,3rd
GBR,8481,Jeremy Robinson,Dan Cripps,R.S.Y.C.,3,11,7,21,4th
GBR,8378,Martin Hodgson,Paul Beasley,Stone,8,3,12,23,5th
GBR,8624,Ian Pinnell,Ian Godfrey,N.S.C.,2,22,2,26,6th
GBR,8600,Rob Larke,Rupert Maynard,Stone,16,5,10,31,7th
GBR,8306,Clive Robinson,Garry Cawthorn,Burton,5,4,27,36,8th
GBR,8556,Richard Tew,Simon Hiscocks,G.W.S.C.,7,16,13,36,9th
GBR,8568,Christian Diebutsch,Howard Roddis,G.W.S.C.,12,6,19,37,10th
,,,,,,,,,11
,,,,,,,,,12
,,,,,,,,,13
,,,,,,,,,14
,,,,,,,,,15
,,,,,,,,,16
,,,,,,,,,17
,,,,,,,,,18
,,,,,,,,,19
,,,,,,,,,20
,,,,,,,,,21
,,,,,,,,,22
,,,,,,,,,23
,,,,,,,,,24
,,,,,,,,,25
,,,,,,,,,26
,,,,,,,,,27
,,,,,,,,,28
,,,,,,,,,29
,,,,,,,,,30
,,,,,,,,,31
,,,,,,,,,32
,,,,,,,,,33
,,,,,,,,,34
,,,,,,,,,35
,,,,,,,,,36
,,,,,,,,,37
,,,,,,,,,38
,,,,,,,,,39
,,,,,,,,,40
,,,,,,,,,41
,,,,,,,,,42
,,,,,,,,,43
,,,,,,,,,44
,,,,,,,,,45
,,,,,,,,,46
,,,,,,,,,47
,,,,,,,,,48
,,,,,,,,,49
,,,,,,,,,50
,,,,,,,,,51
,,,,,,,,,52
,,,,,,,,,53
,,,,,,,,,54
,,,,,,,,,55
,,,,,,,,,56
,,,,,,,,,57
,,,,,,,,,58
,,,,,,,,,59
,,,,,,,,,60
