Nation,Sail No.,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,TOTAL,THROW,TOTAL,POSN
CAN,8264,Jeff Boyd,Florence Boyd,,1,2,3,1,7*,2,16,7,9,1
CAN,8698,Frank McLauchlin,Steve Yates,,4*,1,1,3,4,1,14,4,10,2
CAN,826*,Shona Moss Lovshin,Steve Lovshin,,3*,3,2,2,1,6,14,3,11,3
CAN,8410,Bush,Gillies,,2,5,4,5,3,11 DNF*,30,11,19,4
CAN,7605,Renka Gesing,Adam Gesing,,5,4,5,4,9*,4,31,9,22,5
CAN,7796,Ashby,Adams,,7,7,6,8*,5,5,38,8,30,6
CAN,7823,Balinski,Hoffer,,6,6,7*,6,6,7,38,7,31,7
CAN,8288,Angus Ross,Jim MacLachlan,,9,9,8,12 DSQ*,2,6,46,12,34,8
CAN,7857,Hennessy,Angers,,8,8,9*,7,8,8,48,9,39,9
CAN,3944,Fairbridge,Fairbridge,,10,10,11 DNF*,9,10,9,59,11,48,10
