Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Place
USA,8680,Bruce Edwards,David Shelton,,2,1,3,1,1,3,2,13,1
USA,7771,Andy Beeckman,Ben Benjamin,,1,3,1,6,3,6,1,21,2
USA,8714,Howard Hamlin,Mike Martin,,5,5,5,2,2,2,5,26,3
USA,7875,Jeff Miller,Jeff Nelson,,4,4,4,4,5,5,7,33,4
USA,8631,Ryan Cox,Carl Smit,,6,2,6,5,6,4,6,35,5
USA,7201,Dan Thompson,Andy Zinn,,18,18,2,3,4,1,4,50,6
USA,8554,Doug Hagan,Stuart Park,,8.5,6,8,7,7,8,9,53.5,7
USA,7873,Nick Adamson,Alan Norman,,3,7,7,18,18,7,3,63,8
USA,8593,Evert Meyer,Chris Hanke,,10,8,9,10,10,10,8,65,9
USA,8731,Thad Lieb,Paul Kerner,,8.5,11,10,8,8,12,18,75.5,10
USA,7153,Carisa Harris,Graham Shelter,,7,9,18,18,11,9,18,90,11
CAN,7095,Bailey White,Dan Strellis,,18,18,11,9,13,13,18,100,12
USA,8616,David Chatham,Matt McQueen,,11,18,18,18,14,14,11,102,13
USA,7069,David Byron,Shane,,11,18,18,18,14,14,11,104,14
USA,7156,Aaron Ross,Todd,,18,10,18,18,18,18,18,118,15
USA,6991,Bill Jenkins,Dan Marino,,12,18,18,18,12,18,18,120,16
USA,6983,Eric Willis,Wendy Herzberg,,12,18,18,18,12,18,18,120,17
