N ation,Boat NO,Driver,Crew,,R1,R2,R3,R4,R5,R6,R7,Total,Pos
USA,8629,Tyler Moore,Peter Alarie,,1,1,1,2,1,4*,2,8,1
USA,8627,"Tim ""Bucky"" Collins","Bill ""Swoop"" Smith",,4,2,6,1,8*,3,5,21,2
USA,8083,Neal Fowler,Dave Dyson,,3,7*,7,5,4,5,1,25,3
USA,8643,Barney Harris,"Clayton ""Red Neck"" James",,12*,3,10,7,2,6,3,31,4
USA,,Ethan Bixby,Ken Hardy,,8,6,8,4,5,1,10*,32,5
CAN,8264,"Jeff ""Boyder""Boyd","Martin ""Marty""tenHove",,10*,5,2,6,7,8,6,34,6
USA,8012,"Henry ""Hank"" Amthor",Douglas Amthor,,5,8,5,9*,6,9,4,37,7
USA,,"Alexander ""Ali"" Meller","Fred ""Freddie"" Sage/Steve Sparkman",,7,12,22*,3,3,7,7,39,8
CAN,8194,Tom Kivney,Allan Kilgore,,9,9,4,13*,11,2,8,43,9
USA,8722,Macy Nelson,Jesse Falsone,,13*,4,3,8,9,11,9,44,10
USA,,Stergios Papadakis,Mike Albert,,2,10,9,10,12,15*,11,54,11
USA,,Rene de la Rie,Allan Freedman,,6,13*,11,11,10,12,13,63,12
USA,,David Stetson/Adam Samos,Richard Winters/Dave Stetson,,18*,15,14,12,13,10,17,81,13
USA,7068,Ted Ferrarone,J.B. Ferrarone,,19*,14,12,15,14,17,16,88,14
USA,8722,John Howell,Nick Nelson,,17,18*,17,14,16,13,12,89,15
USA,,Bill Heintz,Laura Seuschek,,11,17,18,17,15,14,19*,92,16
USA,8015,John Hauser/Fred Sage,Monty Schumpert,,15,11,20,16,17,20,21*,99,17
USA,7092,Dustin Romey,Kevin Mehaffey,,16,28*,15,18,28,16,14,107,18
SWE,,Christian Madsen,Thomas Hurwitch,,21*,21,16,19,18,18,15,107,19
USA,7876,Steve Lieberman,Josh Lieberman,,28*,20,19,20,19,19,28,125,20
USA,6985,Michael Breton,Dylan Breton,,20,16,13,28*,28,28,28,133,21
USA,,Robert O'Brien,Betsy O'Brien,,14,19,28*,28,28,21,28,138,22
USA,,Rob Shewan,Kathleen Shewan,,28*,22,21,21,28,28,18,138,23
USA,,Jeff Janos,Dina Temple-Raston,,28*,28,24,22,28,22,20,144,24
USA,,Greg Schuster,Joseph Perez,,23,28*,28,28,20,23,22,144,25
USA,7793,Geoff Shaeffer,Dave Seiple,,22,23,23,28*,28,28,28,152,26
USA,,Lauren Abramson,Chris Kirby,,28*,28,28,28,28,28,28,168,27
