Nation,Sail #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Pts,Drop,Nett,Pos
AUS,8920,Michael Quirk,Simon Reffold,,3,4,1,1,1,1,2,(5),(26S),44,31,13,1
AUS,8853,Carter Jackson,Jordan Spencer,,1,6,2,2,5,2,(7),(7),1,33,14,19,2
AUS,8840,Kevin Cameron,Ken Webber,,(14),1,5,(26F),7,3,1,1,3,61,40,21,3
AUS,8877,Daniel Keys,Daryl Roos,,(11),2,4,4,2,4,5,3,(16),51,27,24,4
AUS,8796,Nick Deussen,Jonno Bannister,,(20),5,(7),3,3,5,6,2,4,55,27,28,5
AUS,8783,Damian Carey,Marcus Cooper,,2,7,3,5,9,(13),4,8,(11.5),62.5,24.5,38,6
AUS,8781,Earle Alexander,Ian Gregg,,4,3,(26Q),7,10,6,3,6,(14),79,40,39,7
AUS,8894,Paul Mitchell,Sam Haines,,(13),(10),6,6,6,7,8,4,10,70,23,47,8
AUS,8795,Martin Pike,Dan Cowan,,6,(12),8,8,8,9,(15),12,7,85,27,58,9
AUS,8893,Ryan Menzies,Joel Castle,,(18),9,11,9,4,11,9,10,(17),98,35,63,10
AUS,8864,Hamish Jarrett,Chris Pearson,,5,13,(16),(26F),11,14,11,11,2,109,42,67,11
AUS,8648,Jeffrey Robinson,Lachlan Hornsby,,9,11,9,12,(13),10,10,13,(20),107,33,74,12
AUS,9022,Ian Burford,Jeff Burford,,(16),8,10,(26F),12,8,16,9,11.5,116.5,42,74.5,13
AUS,8221,Andrew McCole,James Ryssenbeek,,7,15,13,14,(22),15,19,(24),5,134,46,88,14
AUS,8682,Richard Hyde,Phil Edney,,10,14,(26C),(26F),16,17,18,14,8,149,52,97,15
AUS,8292,Mark Scrymgour,Robert Gichrist,,15,(26S),15,16,17,16,12,(20),9,146,46,100,16
AUS,8710,Brett Bowden,David Walters,,12,(26S),17,(26F),18,20,14,18,6,157,52,105,17
AUS,8628,Peter Croft,Gary Rushton,,8,16,14,10,(26F),(26S),17,15,26Q,158,52,106,18
AUS,8637,Sam Cronin,Kevin Whitbread,,19,(26S),12,11,14,12,(21),19,21,155,47,108,19
AUS,6819,Ian Taylor,Rob Bath,,(21),18,20,(26F),15,19,13,16,15,163,47,116,20
AUS,8498,Jonathan Ross,Ian Scholes,,17,17,18,15,(26S),18,20,(21),19,171,47,124,21
AUS,8036,John Warren,Patrick Walker,,22,22,19,13,(26S),(23),23,17,13,178,49,129,22
AUS,8277,Scott Watson,Antony Munro,,(26F),19,21,(26F),19,21,26S,23,22,203,52,151,23
AUS,8395,Tim Jeans,Tom Connell,,(26S),21,(26F),26F,21,22,22,22,18,204,52,152,24
AUS,878,Adrian Kiely,Darren Cooney,,(26F),20,(26F),26F,20,24,24,25,26S,217,52,165,25
