Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Netto,Place
FIN,8632,Jari Hamström,Tuomas Laurila,EMK KuoPS,1,1,1,3,3,(10 OCS),UK III,19,9,1
FIN,8768,Jukka Nieminen,Antti Salonen,(HYP) SP,2,3,4,1,1,(10 OCS),Giiamari,21,11,2
FIN,8812,Matti Pentti,Otto Toivanen,TPS HSK,3,2,2,-4,2,2,,15,11,3
FIN,8585,Henri Räyy,Joonas Björkman,TPS N,4,4,-5,2,4,4,,23,18,4
FIN,8582,Eino Laitinen,Kauppinen Kaarle,PSS MSVK,-6,6,3,6,6,3,Palle-Jooseppi,30,24,5
FIN,7784,Thomas Held,Timo Vennonen,HSK BSS,-7,5,7,5,5,5,Piironki,34,27,6
FIN,8923,Michael Wolontis,Ville Malm,NJK,-8,7,8,8,7,1,www.emerald.fi,39,31,7
FIN,8466,Hannu Pöyry,Juha Pietilä,OTPS VVK,5,-9,9,9,8,6,Pinkki Viiva,46,37,8
FIN,8659,Kira Maisniemi,Juha Nurmela,Vene-71/HSK,9,8,6,7,9,(10 OCS),Lennart,49,39,9
FIN,7956,Vesa Leskinen,,LP,(10 DNC),10,10 DNF,10,10,10 DNF,,60,50,10
