Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GER,9071,Wolfgang Hunger,Holger Jess,PYC,1,7,1,2,1,1,1,,1
SUI,8954,Caroline Jacot,Philippe Jacot,CVN,4,4,3,5,8,13,3,,2
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,23,8,2,3,10,3,2,,3
GER,9112,Morten Bogacki,Lars Dehne,DYC,2,1,4,11,2,9,13,,4
USA,9072,Mike Holt,David Shelton,,6,2,7,4,6,8,16,,5
GBR,9094,Ian Pinnel,Adam Kenney,,5,9,9,1,7,17,8,,6
FRA,9075,Philippe Boite,Erwan Grossmann,CVM,3,12,8,6,9,7,7,,7
GER,8992,Claas Lehmann,Leon Oehme,NRV,9,6,12,9,3,6,DSQ,,8
GER,9062,Jens Olbrysch,Oliver Thies,HSC,13,5,17,8,5,16,4,,9
GBR,9088,Andy Smith,Alex Davies,,8,10,5,14,11,20,14,,10
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,7,3,10,10,25,22,23,,11
GER,9090,Christian Kellner,Andreas Achterberg,HSC,12,11,6,7,19,28,22,,12
SUI,9069,Cédric Bart,Laurent Grob,CNB,17,15,11,22,20,2,21,,13
GER,9122,Benedikt Northoff,Kilian Northoff,BYC,24,18,14,13,4,35,15,,14
FRA,9067,Bertrand Loyal,Nicolas des Jamonières,,15,17,15,17,18,10,36,,15
SUI,8614,Florian Stauffer,Valery Jacot,CVN,16,13,20,19,22,5,29,,16
SUI,8613,Marti Ueli,Res Schürch,CVN,11,14,16,23,16,15,40,,17
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,10,DNF,19,12,17,4,39,,18
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,14,22,18,21,15,38,18,,19
GER,8975,Alexander Holzapfel,Alain Karadjian,PSVK,18,DNF,13,24,12,14,37,,20
FRA,8716,Aline Martin,David de Monteil,,DNF,23,23,32,21,11,9,,21
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,21,20,24,18,13,31,28,,22
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,19,19,22,20,DNF,18,26,,23
FRA,8904,Nicolas Martin,Julien Lafortune,,20,21,27,15,24,21,31,,24
GER,8972,Lena Stückl,Morten Roos,DTYC,28,16,26,16,14,23,30,,25
FRA,9098,Michael Delsemme,Raphael Lebouche,ST Tropez,25,28,OCS,25,27,27,12,,26
GER,9035,Ronald Roos,Kirsten Roos,SVWu,30,27,30,27,32,24,11,,27
FRA,9024,Claude Gachet,Kleber Valery,YCG,42,33,28,38,34,19,5,,28
FRA,9056,Alain Tosello,Yves Niddam,,22,32,25,26,29,37,25,,29
FRA,8900,Serge Gubri,Fabrice Toupet,JMIAM,27,24,21,30,23,36,35,,30
FRA,9068,François de Lisle,Herve Brillaud,,26,26,33,34,35,32,17,,31
GER,9102,Walter Steding,Hans-Werner Steding,HSC,DNF,DNF,29,33,30,12,15,,32
FRA,8847,Muriel Jeanne,Franck Agrapart,CNHS,29,25,34,29,26,33,27,,33
GER,9114,Mats Westholm,Guido von Walter,SCLW,33,31,DNF,35,28,23,20,,34
FRA,8564,Sylvain Ratouis,Antoine Ratouis,,44,36,40,31,31,41,6,,35
FRA,9103,Olivier Magret,Mathieu Glade,,36,35,37,44,DNF,26,19,,36
FRA,9086,Elisabeth Neidhart,Matthieu Gougeon,,40,DNF,35,28,DNF,25,32,,37
SUI,9060,Catherine Houriet,Gil Donze,,38,37,31,39,DNF,30,38,,38
FRA,8773,Philippe Markt,Yves Treboz,,32,37,31,39,DNF,30,38,,39
SUI,8727,Lorenz Nydegger,Martin Nydegger,SCB,37,42,39,42,38,40,33,,40
FRA,9012,Melissa Ferrois,Yann Ducreux,,DNF,40,43,37,41,45,24,,41
FRA,8704,Thomas Lemaitre,Lawrence Banahan,,DNF,30,32,RET,33,46,44,,42
FRA,8687,Jean Philippe Hermieu,Christian Simonnot,St Tropez,34,34,DSQ,40,40,43,45,,43
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,31,29,41,36,DNF,DNC,1,,44
FRA,9019,Veronique Brenet,Jean-Pierre Peter,ACAL,35,43,36,45,42,39,42,,45
GER,8999,Karsten Stümpel,Katharina Menge,HSC,43,DNF,42,43,DNF,29,34,,46
GER,8389,Georg Mittermayer,Dirk Barteldt,LYC,39,39,44,46,37,44,41,,47
FRA,8748,Samuel Carvallo,Denis David,CNHS,41,41,45,47,39,47,46,,48
GER,8473,Christoph Böckle,Michael Marker,SSCM,DNF,DNF,46,48,DNF,DNC,DNC,,49
