Nation,Sail,Skipper,,Yacht Club,1,2,3,4,5,6,Boat,Total,Pos
USA,9115,Mike Holt,,Santa Cruz YC,1,1,1,[3],2,1,IO Integration,6,1
USA,8714,Mike Martin,,NHYC / StFYC,[8],5,3,1,1,3,greenie,13,2
USA,9073,Bruce Edwards,,StFYC,3,3,2,[7],4,5,Dog n Pony Rides Again,17T,3
USA,9042,Jb Turney,,StFYC,[5],4,4,2,3,4,Stimulus Package,17T,4
USA,8970,Robert Tennant,,RVicYC,4,2,5,4,[7],6,,21,5
USA,9082,Jeff Miller,,SCYC,2,6,7,[13/DNC],5,2,Miracle,22,6
USA,8786,David Chatham,,Bird Dog YC,6,[7],6,5,6,7,Bird Dog,30,7
USA,8084,Aaron Ross,,Santa Cruz Yacht Club,9,8,8,6,8,[13/RET],Rob's Old Boat,39,8
CAN,8755,Brian Trainor,,Kitsilano Yacht Club,7,10,11,10,10,[13/DNC],Banshee,48,9
USA,8937,Tim Murphy,,TISC,[13/DNC],13/DNC,13/DNC,8,9,8,,51,10
USA,7069,Christopher Oleary,,BYC,11,11,9,9,[13/DNF],13/DNC,Tiburon,53,11
USA,8931,Dan Esdorn,,St FYC,10,9,10,[13/DNC],13/DNC,13/DNC,Duesentrieb,55,12
