Nation,Sail,Skipper,Crew,Boat,1,2,3,Points,Pos
USA,9041,Henry Amthor,Jesse Falsone,Jesse & Henry,5,1,1,7.00,1
USA,8851,Ted Huebner,,None,3,3,3,9.00,2
USA,8641,Nicholas Burke,,PTL Club,1,6,5,12.00,3
IRA,8987,Peter Scannell,John Dunlea,Lookadatla,9,2,2,13.00,4
USA,8930,Duane Delfosse,Solomon Marini,None,2,7,4,13.00,5
USA,8808,Ben Greenfield,,None,6,5,6,17.00,6
USA,8012,Eric Anderson,,None,4,8,7,19.00,7
USA,8018,Alexander Tong,,None,7,4,9,20.00,8
USA,9005,Thomas Kivney,Gordon Russell,Katiebear,8,9,12/DNF,29.00,9
USA,8261,Mark Linker,,None,11,10,8,29.00,10
USA,6985,Michael Breton,,No Surrender,10,11,12/DNC,33.00,11
