Nation,Sail NO,Skipper,Crew,,1,2,3,4,5,Total,Pos
USA,9173,Tyler Moore,Drew Buttner,,1,1,2,1,[4],5,1
USA,8265,Luke Ingalls,John Ingalls,,2,3,1,4,[8],10,2
USA,8939,Clark Hayes,Eric Schwab,,[6],4,3,3,2,12,3
IRL,8987,Peter Scannell,Charles Dwyer,,[7],2,7,2,5,16,4
USA,9095,Macy Nelson,Russell Miller,,4,7,4,[8],3,18,5
AUS,9165,Curtis Hartmann,,,5,[6],5,5,6,21,6
USA,9005,Thomas Kivney,Gordon Russell,,3,5,6,[9],9,23,7
USA,8018,Solomon Marini,,,[9],8,8,6,7,29,8
USA,9183,Michael Breton,,,8,9,9,7,[13/RET],33,9
USA,9007,Matthew Barry,,,[13/DNC],13/DNC,13/DNC,13/DNC,1,40T,10
USA,6985,Alexander Young,,,[10],10,10,10,10,40T,11
USA,8081,Mark Linker,,,11,[13/DNF],11,11,13/DNF,46,12
