Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.,,,,,
GER,9182,Alexander Holzapfel,Finn Böger,PSVK,1,3,1,1,7,1,,1
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,2,2,3,3,1,8,,2
GER,9189,Hendrik Schultz,Ute Oberländer,SCLW,RET,1,2,4,2,3,,3
GER,9006,Stefan Meister,Michael Rehberg,,3,5,5,5,3,7,,4
GER,9054,Wilhelm Wollenbecker,Hermann Wollenbecker,YB,4,4,7,9,6,2,,5
GER,9152,Anika Wollenbecker,Klaus Duncker,YCBG,DNF,6,8,2,8,4,,6
GER,9224,Konrad Otto,Martin Lietz,SGS,6,9,6,6,5,5,,7
GER,9169,Tim Böger,Martin Schöler,HSC,DNF,8,4,8,4,6,,8
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,7,7,10,7,9,9,,9
GER,8806,Anna Hauschild,Katharina Menge,SCS,5,10,9,10,10,10,,10
