Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Points,Place
POL,9170,Karol Milewski,Bartosz Milewski,YK STAL GDYNIA,3,1,2,OCS*,2,1,23,9,1
POL,9119,Mateusz Jura,Bartosz Chroł,Polskie Stowarzyszenie Klasy 505,1,6*,3,3,1,6,20,14,2
POL,8875,Dariusz Konopczak,Paweł Henszke,Centrum Żeglarskie Szczecin,5*,5,1,2,5,2,20,15,3
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa/K.S Spójnia – Warszawa,4,4,6*,1,3,3,21,15,4
POL,8145,Paweł Kluczyński,Władysław Kondej,AZS Poznań,2,2,7*,5,6,5,27,20,5
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,8*,7,8,6,4,4,37,29,6
POL,8812,Sławomir Plichta,Paweł Prus,Yacht Klub Stal Gdynia,6,3,9,4,DNF*,DNC,50,36,7
POL,8463,Jacek Ludwiczak,,,9,8,4,DNC*,DNC,DNC,63,49,8
POL,8493,Mieczysław Szwed,Tomasz Idzikowski,Centrum Żeglarskie Szczecin,7,9,5,DNC*,DNC,DNC,63,49,9
POL,8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,12,10,10,DNC*,DNC,DNC,74,60,10
POL,7942,Kacper Kaczmarek,Michał Prończuk,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU ---,10,12,11,DNF*,DNF,DNC,75,61,11
POL,8770,Jakub Gąsiorowski,Karolina Gąsiorowska,Yacht Klub Stal Gdynia,11,11,12,DNC*,DNC,DNC,76,62,12
POL,9132,Przemek Zagórski,Michał Olko,Yacht Klub Stal Gdynia,DNC*,DNC,DNC,DNC,DNC,DNC,84,70,13
