Sail,Number,Team,,Club,R1,R2,R3,R4,R5,R6,T,N,Nr
GER,8992,Lutz Stengel,Frank Feller,ROYC,1,1,1,1,1,(17.0)DNC,22,5,1
GER,9182,Alexander Holzapfel,Thorsten Pösch,PSVK,2,-6,2,2,5,5,22,16,2
GER,9169,Tim Böger,Finn Böger,HSC,-7,3,6,3,2,2,23,16,3
GER,8928,Geeske Genrich,Johannes Kindermann,SCB,3,2,5,-9,4,4,27,18,4
GER,9197,Nici Birkner,Angela Stenger,VSAW,4,4,3,4,-6,3,24,18,5
GER,9198,Thure Gnadeberg,Johannes Tellen,BSV,5,(17.0)OCS,7,5,3,1,38,21,6
GER,9224,Konrad Otto,Martin Lietz,SG SEEBURG,6,5,-9,7,8,7,42,33,7
GER,9057,Dorothea Gebert,Ivo Vollering,JSC,8,9,4,8,-10,6,45,35,8
GER,8806,Anna Hauschild,Anja Stengel,SCS,-10,8,8,6,7,9,48,38,9
POL,8747,Anna Jabłońska,Andrzej Zdrojek,PSK505,10,10,-11,9,8,9,57,46,10
GER,9123,Martin Bernauer,Enno Wilts,CKA,-13,7,13,12,13,12,70,57,11
GER,8519,Silvio Hilbrich,Marcus Wagner,YSC-SS,12,13,11,-15,12,11,74,59,12
GER,8317,Christina Burger,Volker Niediek,WSCW,11,12,16,(17.0)DNC,11,10,77,60,13
GER,8691,Harald König,Katja Frühwald-König,SRVL-S,-15,14,14,10,14,13,80,65,14
GER,8721,Jan Berhold,Jan Stremlow,PYC,14,11,12,14,(17.0)DNC,17.0DNC,85,68,15
GER,7848,Axel Dierich,Malte Dornieden,MYCVD,-16,15,15,13,15,14,88,72,16
