Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8632,Claas Lehmann,Martin Schöler,NRV,1,10,2,1,14,,1
GER,8692,Boris Herrmann,Julien Kleiner,ZSK,8,1,1,3,13,,2
GER,8608,Bernd Rasenack,Jens Steinert,ZSK,6,6,3,2,17,,3
GER,8619,Jens Findel,Johannes Tellen,KYC,4,4,6,4,18,,4
GER,8730,Jens Hufnagel,Axel Priegann,ScStM,2,3,10,9,24,,5
GER,8531,Michael Troch,Eckart König,SGJ,5,2,7,8,22,,6
GER,8843,Nicolai Völckner,Lars Dehne,HSC,10,8,4,5,27,,7
GER,8663,Norbert Dasenbrook,Sven Meier,KSW,7,5,9,6,27,,8
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,11,11,5,7,34,,9
GER,8686,Christian Niefert,Thomas Weber,BSV,3,12,14,10,39,,10
GER,8441,Rainer Gerdes,Falk Stenger,SSCK,13,7,11,13,44,,11
GER,8522,Hannes Lehning,Christoph Fuchs,SWE,16,14,8,14,52,,12
GER,8528,Andre Tirre,Frank Wille,YCS,12,17,12,12,53,,13
GER,8546,Dirk Hänsgen,Frank Rupprich,SVPB,15,15,13,11,54,,14
GER,8458,Christiane Giefers,Jens Krause,SVPB,14,13,15,17,59,,15
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,9,9,DNC 23,DNC 23,64,,16
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,18,19,DNC 23,15,75,,17
GER,7539,Wolfgang Thieschäfer,Elke Thieschäfer,YCZ,DNF 23,18,16,18,75,,18
GER,8538,Lars Metzner,Enno Thaeter,SVN,17,16,DNC 23,DNC 23,79,,19
GER,7035,Michael Köritz,Roland Boettcher,USCO,19,DNC 23,DNC 23,16,81,,20
GER,7900,Felix Heibeck,Axel Isler,KSW,20,DNC 23,DNC 23,19,85,,21
GER,7934,Andreas Meyerdierks,Niels Metger,,DNC 23,20,DNC 23,DNC 23,89,,22
