Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,1,2,1,1,5,,1
GER,8901,Sophie Söllner,Wolfgang Stückl,CYC,3,1,2,2,8,,2
GER,8777,Stefan Schollmayer,Francisco Sanguino,SCMSP,2,5,4,3,14,,3
GER,8672,Karsten Contag,Guido von Walter,SCLW,6,4,3,12,25,,4
GER,8539,Hendrik Schultz,Ute Oberländer,SCLW,5,7,5,4,21,,5
GER,8463,Frieder Achterberg,Johannes Schmederer,DTYC,7,3,7,5,22,,6
GER,8507,Benjamin Grosskurth,Thorsten Koch,SCLW,4,6,8,7,25,,7
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,10,8,9,6,33,,8
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,8,10,6,DNF 27,51,,9
GER,8562,Wolfgang Seifert,Ivonne Seifert,SCLW,16,9,10,DNF 27,62,,10
GER,8388,Peter Wolffram,Stephan Ottenschläger,,13,15,11,11,50,,11
GER,8546,Dirk Hänsgen,Jens Krause,SVPB,12,11,13,15,51,,12
GER,8475,Göran Berggren,Agnes Berggren,SCLW,15,13,DNF 27,10,65,,13
GER,7661,Christina Höll,Alexander Wilhelm,HSC,17,19,14,8,58,,14
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,14,16,12,14,56,,15
GER,8873,Peter Heimbeck,Daniel Rieger,SCLW,19,14,DNF 27,9,69,,16
GER,8642,Thoralf Greger,Melanie Tschiche,ASVG,11,12,DNC 27,DNF 27,77,,17
GER,8674,Kersten Weichborn,Pedro Bohnenberger,SCIA,18,17,15,20,70,,18
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,9,DNF 27,DNF 27,17,80,,19
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,20,18,16,19,73,,20
AUT,8482,C. Pirker,Christian Engl,SCLW,21,20,DNC 27,16,84,,21
GER,7921,Jochen Heydolph,Timo Klapper,SCLW,DNC 27,DNC 27,DNC 27,13,94,,22
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,DNF 27,21,DNC 27,22,97,,23
GER,8658,Hanno Stratmann,Fanni Stratmann,SCLW,DNF 27,DNF 27,DNC 27,18,99,,24
GER,8518,Klaus Eifler,Thomas Thym,SCLW,DNF 27,DNC 27,DNC 27,21,102,,25
GER,8861,Hans-Otto Frisch,Achim Funk,SCLW,DNF 27,DNC 27,DNC 27,DNC 27,108,,26
