Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8807,"Morten Bogacki","Wolfgang Bogacki",DYC,2,2,"OCS 22",1,27,,1
GER,8664,"Andreas John","Franziska Unkelbach",KYC,1,3,2,6,12,,2
GER,8750,"Michael Rössler","Holger Neuhaus",SKMD,5,4,3,2,14,,3
GER,8669,"Tim Böger","Felix Welding",HSC,"OCS 22",5,1,5,33,,4
GER,8665,"Jens-Peter Schlomka","Urs Wihlfart",TSVS,13,1,5,11,30,,5
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,9,9,7,3,28,,6
GER,7035,"Michael Köritz","Boris Herrmann",USCO,4,8,11,9,32,,7
GER,8730,"Brar Ocke Braren","Markus Schöner",hsc,7,18,9,8,42,,8
GER,8433,"Jürgen Anton","Wolf Pfeiffer",HSC,15,6,"OCS 22",4,47,,9
GER,8609,"Alexander Holzapfel","Dirk Ipach",PSVK,"DSQ 22",7,8,10,47,,10
GER,6805,"Andreas Jungclaus","Bruno Laudage",HSC,16,13,6,7,42,,11
GER,7129,"Oliver Kranich","Thomas Kranich",SGR,3,14,12,13,42,,12
GER,8662,"Jan Stölken","Matthias Brühl",SCU,12,12,4,15,43,,13
GER,8674,"Nick Dose","Andreas Poppe",,6,16,"OCS 22",14,58,,14
GER,8392,"Georg Mittermayer","Andreas Knuth",LYC,14,17,10,12,53,,15
GER,8692,"Nicolai Völckner","Lars Dehne",HSC,10,10,"DNC 22","DNC 22",64,,16
GER,8538,"Bernd Mezner","Enno Thaeter",,17,15,13,"DNC 22",67,,17
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,19,20,14,16,69,,18
GER,8686,"Christian Niefert","Thomas Weber",BSV,18,11,"DNC 22","DNC 22",73,,19
GER,8437,"Dirk Grotebruner","Johannes Stricker",CKA,11,19,"DNC 22","DNC 22",74,,20
GER,7746,"Christian Lempp","Angela Müller",HSC,8,"DNC 22","DNC 22","DNC 22",74,,21
