Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8608,"Bernd Rasenack","Jens Steinert",ZSK,1,1,1,1,4,,1
GER,8441,"Rainer Gerdes","Lars Dehne",SSCK,2,2,2,2,8,,2
GER,8414,"Stefan Worm","Wolf Pfeiffer",RYC,3,3,4,4,14,,3
GER,8528,"Andre Tirre","Frank Wille",YCS,5,5,3,6,19,,4
GER,8538,"Lars Metzner","Enno Thaeter",SVN,4,4,6,8,22,,5
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,6,8,5,5,24,,6
GER,7539,"Wolfgang Thieschäfer","Elke Thieschäfer",YCZ,"DNC 11",7,7,3,28,,7
GER,8674,"Nick Dose","Andreas Poppe",,"DNF 11",6,8,9,34,,8
GER,8468,"Ulrich Müller-Menzel","Maren Müller-Menzel",WSRM,7,9,9,7,32,,9
GER,8370,"Karsten Stümpel","Matthias Struck",HSC,"DNF 11","DNF 11",10,10,42,,10
